  3.38191E-18   1.01051E-03  -7.30947E-19
 -1.38896E-19   1.83838E-03   5.99042E-19
 -1.56627E-17   3.90530E-03   7.63104E-19
 -6.38842E-18   4.83214E-03   2.61296E-19
 -6.63599E-18   5.32944E-03  -3.18496E-19
 -9.57682E-18   4.74772E-03   3.07483E-19
 -1.53878E-17   4.96854E-03   3.39166E-19
  2.36683E-18   4.12839E-03   5.15534E-19
  1.11432E-17   4.20528E-03   5.15448E-19
 -1.29065E-17   4.59195E-03   4.41690E-19
 -2.11050E-17   4.59608E-03   1.49890E-19
 -2.26542E-17   4.66084E-03   1.71869E-19
 -5.24577E-18   4.49780E-03   2.40424E-19
  9.97537E-18   4.54125E-03  -1.80137E-19
 -2.98158E-18   4.41923E-03   2.24676E-19
  2.07474E-17   4.41936E-03   5.55634E-19
  4.01199E-18   4.46624E-03   5.37158E-19
 -4.40937E-18   4.44412E-03   7.10862E-19
  8.78102E-18   4.52495E-03   1.66852E-19
  1.72739E-17   4.50336E-03   1.36103E-19
 -2.15213E-19   4.51505E-03   3.78392E-19
  2.92897E-17   4.48528E-03   6.49742E-19
  1.18271E-17   4.46413E-03   4.78987E-19
  8.84530E-18   4.48480E-03   4.73227E-19
 -6.87997E-18   4.48229E-03   6.43108E-19
  6.48048E-18   4.50563E-03   8.19798E-20
  1.15911E-18   4.48920E-03   5.05728E-19
  1.39917E-18   4.48738E-03   6.71781E-19
  1.08731E-17   4.48432E-03   3.99838E-19
  9.12752E-18   4.47058E-03   2.56248E-19
  2.46705E-17   4.48171E-03   8.92644E-19
 -7.41274E-18   4.48270E-03   6.05248E-19
 -1.13038E-17   4.48359E-03   5.72559E-19
 -1.11691E-17   4.47768E-03   6.85816E-19
 -1.18655E-17   4.47694E-03   6.31223E-19
  4.30768E-18   4.47990E-03   6.44858E-19
  6.89469E-18   4.47584E-03   6.05653E-19
 -1.79678E-19   4.47947E-03   1.13830E-19
 -5.60815E-18   4.48041E-03   4.47004E-19
  3.97473E-18   4.47961E-03   3.85541E-19
  2.19572E-18   4.47905E-03   4.35554E-19
 -9.92328E-18   4.47897E-03   1.97784E-19
 -3.23079E-17   4.47964E-03   6.17374E-19
 -9.66893E-18   4.47813E-03   5.77875E-19
  1.46298E-17   4.47901E-03   5.26211E-19
 -2.61778E-19   4.47935E-03   1.66021E-19
  2.14377E-17   4.47901E-03   5.88173E-19
 -1.04988E-17   4.47927E-03   5.10656E-19
  1.20821E-17   4.47915E-03   4.10475E-19
  2.51728E-18   4.47916E-03   6.00756E-19
