  9.00000E-01 -1.52211E+00
  1.80000E+00 -2.74569E-01
  2.70000E+00  1.57090E-02
  3.60000E+00  1.34097E-01
  4.50000E+00  2.17464E-01
  5.40000E+00  1.92002E-01
  6.30000E+00  2.05934E-01
  7.20000E+00  1.96574E-01
  8.10000E+00  1.55762E-01
  9.00000E+00  1.96100E-01
  9.90000E+00  1.92505E-01
  1.08000E+01  1.92357E-01
  1.17000E+01  1.87033E-01
  1.26000E+01  1.82626E-01
  1.35000E+01  1.83932E-01
  1.44000E+01  1.77085E-01
  1.53000E+01  1.83529E-01
  1.62000E+01  1.79747E-01
  1.71000E+01  1.82081E-01
  1.80000E+01  1.84326E-01
  1.89000E+01  1.82035E-01
  1.98000E+01  1.82880E-01
  2.07000E+01  1.80336E-01
  2.16000E+01  1.81387E-01
  2.25000E+01  1.81071E-01
  2.34000E+01  1.81866E-01
  2.43000E+01  1.82501E-01
  2.52000E+01  1.81263E-01
  2.61000E+01  1.82169E-01
  2.70000E+01  1.81388E-01
  2.79000E+01  1.81308E-01
  2.88000E+01  1.81728E-01
  2.97000E+01  1.81769E-01
  3.06000E+01  1.81796E-01
  3.15000E+01  1.81354E-01
  3.24000E+01  1.81653E-01
  3.33000E+01  1.81503E-01
  3.42000E+01  1.81394E-01
  3.51000E+01  1.81614E-01
  3.60000E+01  1.81527E-01
  3.69000E+01  1.81485E-01
  3.78000E+01  1.81428E-01
  3.87000E+01  1.81512E-01
  3.96000E+01  1.81476E-01
  4.05000E+01  1.81426E-01
  4.14000E+01  1.81499E-01
  4.23000E+01  1.81468E-01
  4.32000E+01  1.81477E-01
  4.41000E+01  1.81489E-01
  4.50000E+01  1.81488E-01
