ky,matched_reference_ky,observed_growth,reference_growth,growth_error,observed_frequency,reference_frequency,frequency_error,phi_phase_aligned_error,growth_passed,frequency_passed,phi_passed
0.1,0.09999999999999999,0.6571563089603494,-0.0007797962033046558,0.6579361051636541,-0.011745974034791402,-0.06573003284376668,0.05398405880897528,0.11070205745377523,False,False,False
0.2,0.19999999999999998,0.6361302101447919,-0.004876056537197182,0.641006266681989,-0.010414663463440693,-0.11818459283860903,0.10776992937516834,0.10997261742605682,False,False,False
0.3,0.3,0.5526896367666011,0.009619443823361787,0.5430701929432393,-0.009517324054839557,-0.0028493457942134434,-0.006667978260626114,0.10904248064100534,False,True,False
