ky,matched_reference_ky,observed_growth,reference_growth,growth_error,observed_frequency,reference_frequency,frequency_error,phi_phase_aligned_error,growth_passed,frequency_passed,phi_passed
0.1,0.09999999999999999,0.1296489000018489,-0.0007797962033046558,0.13042869620515354,-2.955243245373457,-0.06573003284376668,-2.8895132125296903,0.1781094996532524,False,False,False
0.2,0.19999999999999998,0.20746728615465676,-0.004876056537197182,0.21234334269185395,-3.1045616489648546,-0.11818459283860903,-2.9863770561262455,0.3026825358323388,False,False,False
0.3,0.3,0.2567678446022674,0.009619443823361787,0.24714840077890565,-3.2460936579444257,-0.0028493457942134434,-3.243244312150212,0.3793660672687708,False,False,False
