case,n_vpar,n_mu,velocity_backend,actual_total_time,stella_tend,time_window_passed,first_failed_check,ky,focus_ky,growth_rate,reference_growth,growth_error,growth_delta_from_baseline,frequency,reference_frequency,frequency_error,frequency_delta_from_baseline,abs_frequency_error_delta_from_baseline,phi_phase_aligned_error,profile_error_delta_from_baseline,kperp2_average,quasilinear_contribution,max_growth_error,max_frequency_error,max_profile_error,late_window_growth_delta,estimated_cfl_dt,finite_growth,finite_frequency,dt,steps_per_window,n_windows,wall_seconds,reused_existing_output,baseline_source
cheb_4x4,4,4,chebyshev,200.0,200.0,True,velocity_rhs_terms,0.1,False,0.0005288919268420666,-0.0007797962033046558,0.0013086881301467225,0.0,-0.08500059010727222,-0.06573003284376668,-0.019270557263505544,0.0,0.0,0.14717422297330432,0.0,0.05813452686969374,0.009097724799901777,0.00800978266875123,0.1656180274599258,0.1861334266087764,0.023673122635288976,0.16699681907807115,True,True,0.02,5,2000,0.0,True,fixtures/w7x_itg_stella_matched_time_ladder/runs/time_200
cheb_4x4,4,4,chebyshev,200.0,200.0,True,velocity_rhs_terms,0.2,False,0.00016849201492570928,-0.004876056537197182,0.005044548552122891,0.0,-0.11504014449043624,-0.11818459283860903,0.0031444483481727903,0.0,0.0,0.1628235787667622,0.0,0.17903069890001472,0.0009411347660485187,0.00800978266875123,0.1656180274599258,0.1861334266087764,0.023673122635288976,0.16699681907807115,True,True,0.02,5,2000,0.0,True,fixtures/w7x_itg_stella_matched_time_ladder/runs/time_200
cheb_4x4,4,4,chebyshev,200.0,200.0,True,velocity_rhs_terms,0.3,True,0.0016096611546105569,0.009619443823361787,-0.00800978266875123,0.0,-0.16846737325413924,-0.0028493457942134434,-0.1656180274599258,0.0,0.0,0.1861334266087764,0.0,0.2942194023022561,0.005470955151188352,0.00800978266875123,0.1656180274599258,0.1861334266087764,0.023673122635288976,0.16699681907807115,True,True,0.02,5,2000,0.0,True,fixtures/w7x_itg_stella_matched_time_ladder/runs/time_200
cheb_6x6,6,6,chebyshev,200.0,200.0,True,velocity_rhs_terms,0.1,False,0.0023337994466213667,-0.0007797962033046558,0.0031135956499260225,0.0018049075197793,-0.058123496516293,-0.06573003284376668,0.007606536327473677,0.02687709359097922,-0.011664020936031867,0.14566025033758287,-0.00151397263572145,0.04856378971786778,0.04805636998536483,0.007081988948865044,0.18605813126541795,0.15577651564620124,0.03019892551627062,0.15599392707914717,True,True,0.02,5,2000,0.0,True,
cheb_6x6,6,6,chebyshev,200.0,200.0,True,velocity_rhs_terms,0.2,False,0.002205932411667862,-0.004876056537197182,0.007081988948865044,0.0020374403967421528,-0.12746017361233958,-0.11818459283860903,-0.009275580773730543,-0.012420029121903334,0.006131132425557753,0.15577651564620124,-0.00704706312056097,0.1582527299172721,0.013939300843701664,0.007081988948865044,0.18605813126541795,0.15577651564620124,0.03019892551627062,0.15599392707914717,True,True,0.02,5,2000,0.0,True,
cheb_6x6,6,6,chebyshev,200.0,200.0,True,velocity_rhs_terms,0.3,True,0.003611396623391806,0.009619443823361787,-0.0060080471999699805,0.002001735468781249,-0.1889074770596314,-0.0028493457942134434,-0.18605813126541795,-0.02044010380549216,0.02044010380549216,0.14292865723849463,-0.04320476937028178,0.27948314553754405,0.012921697358289363,0.007081988948865044,0.18605813126541795,0.15577651564620124,0.03019892551627062,0.15599392707914717,True,True,0.02,5,2000,0.0,True,
cheb_8x8,8,8,chebyshev,200.0,200.0,True,velocity_rhs_terms,0.1,False,0.1296489000018489,-0.0007797962033046558,0.13042869620515354,0.12912000807500681,-2.955243245373457,-0.06573003284376668,-2.8895132125296903,-2.8702426552661846,2.8702426552661846,0.1781094996532524,0.03093527667994808,0.04882579325986225,2.65533627501292,0.24714840077890565,3.243244312150212,0.3793660672687708,0.1258610969368569,0.141963625912506,True,True,0.02,5,2000,0.0,True,
cheb_8x8,8,8,chebyshev,200.0,200.0,True,velocity_rhs_terms,0.2,False,0.20746728615465676,-0.004876056537197182,0.21234334269185395,0.20729879413973104,-3.1045616489648546,-0.11818459283860903,-2.9863770561262455,-2.9895215044744186,2.983232607778073,0.3026825358323388,0.13985895706557658,0.18530315552890467,1.119610108966413,0.24714840077890565,3.243244312150212,0.3793660672687708,0.1258610969368569,0.141963625912506,True,True,0.02,5,2000,0.0,True,
cheb_8x8,8,8,chebyshev,200.0,200.0,True,velocity_rhs_terms,0.3,True,0.2567678446022674,0.009619443823361787,0.24714840077890565,0.2551581834476569,-3.2460936579444257,-0.0028493457942134434,-3.243244312150212,-3.0776262846902864,3.0776262846902864,0.3793660672687708,0.1932326406599944,0.3359889192418872,0.7642152163257782,0.24714840077890565,3.243244312150212,0.3793660672687708,0.1258610969368569,0.141963625912506,True,True,0.02,5,2000,0.0,True,
gkw_fd_16x8,16,8,finite_difference,200.0,200.0,True,velocity_rhs_terms,0.1,False,0.005897784701279936,-0.0007797962033046558,0.006677580904584592,0.005368892774437869,-0.052116722503796856,-0.06573003284376668,0.01361331033996982,0.032883867603475364,-0.005657246923535725,0.12287256611235176,-0.024301656860952564,0.04943684679916048,0.11929937046997889,0.013492631547620433,0.16516142087339686,0.16150230780323657,0.01391957945183264,0.1773798134085247,True,True,0.02,5,2000,0.0,True,
