ntgrid nperiod ntheta drhodpsi rmaj shat kxfac q scale
64 1 128 1.0 1.976788822134374 -0.12541232900398502 1.0 -1.1187302872651752 3
gbdrift gradpar grho tgrid
-0.08134902860594088 0.03910565985331243 1.0539510434293737 -3.141592653589793
-0.07642694073760643 0.03910565985331243 0.7827647122059166 -3.0925052683774528
0.002157498509304721 0.03910565985331243 0.7342367360015168 -3.043417883165112
0.019899817563529747 0.03910565985331243 0.9427720572215571 -2.9943304979527716
0.030739664207269417 0.03910565985331243 1.2281372395829266 -2.945243112740431
0.05752933990143211 0.03910565985331243 1.473980280478497 -2.8961557275280905
0.09300210546661378 0.03910565985331243 1.655557545913006 -2.84706834231575
0.10423138080652972 0.03910565985331243 1.7484922070472333 -2.7979809571034093
0.10376619227720343 0.03910565985331243 1.7300881448096115 -2.748893571891069
0.08949013609157545 0.03910565985331243 1.6500188983401964 -2.6998061866787286
0.060994574768346146 0.03910565985331243 1.5402859231640094 -2.650718801466388
-0.028139193834460143 0.03910565985331243 1.4697317241092283 -2.6016314162540475
-0.1787376905751482 0.03910565985331243 1.476481155211223 -2.552544031041707
-0.25059186216482554 0.03910565985331243 1.4550401597348552 -2.5034566458293663
-0.28275170564196794 0.03910565985331243 1.3699224988076972 -2.454369260617026
-0.2160518946784644 0.03910565985331243 1.2415514689260085 -2.405281875404685
-0.23290524449147976 0.03910565985331243 1.0766913214191733 -2.356194490192345
-0.2667072880367523 0.03910565985331243 0.8791604318304352 -2.3071071049800045
-0.1500084819770995 0.03910565985331243 0.6982712553426615 -2.2580197197676637
-0.07979005398431159 0.03910565985331243 0.6020707794357223 -2.2089323345553233
-0.019470015797831586 0.03910565985331243 0.605501125795025 -2.1598449493429825
-0.006391474180781066 0.03910565985331243 0.6704239749213499 -2.110757564130642
-0.01153538249478707 0.03910565985331243 0.7405285665211371 -2.061670178918302
0.03672491373868489 0.03910565985331243 0.7785467243202976 -2.0125827937059615
