time,raw_amplitude,physical_amplitude,window_growth,fitted_growth,phi_norm,state_norm,rhs_norm,log_normalization
0.0,0.0079041473962095,0.0079041473962095,0.0,0.0,0.0011408654067290084,7.071067811865814e-05,0.0014398707018399605,0.0
0.06,0.007783150567399933,0.0077831505673999326,-0.2571065851825871,-0.2571065851825871,0.001123401018807935,6.951254746681369e-05,0.0013736679774121194,0.0
0.12,0.9710406731343435,0.007557755766073978,-0.4897820614189345,-0.37344432330076077,0.14015764850704715,0.00872885130936684,0.16969432121045638,-4.855794065515545
0.18,0.9576021708812683,0.007237323328582861,-0.7220476289797311,-0.4896590888162693,0.13821796778371756,0.00880552839043366,0.16801902085286483,-4.8851809892006814
0.24,0.9457061184607973,0.006844380953119877,-0.9303902535388413,-0.6010482748638853,0.13650092051690435,0.009032734132163692,0.16920488417738389,-4.928503846939465
0.3,0.9361588014719905,0.006407427469890427,-1.0995026200470845,-0.7040815201893755,0.13512288400852276,0.009405301367418352,0.1728042397636388,-4.984327262151796
0.36,0.9289063823456921,0.005951900271198326,-1.229121962468908,-0.7971334409070004,0.1340760874748117,0.009911646568195941,0.17850515714208917,-5.050297419354621
0.42,0.9223524338598822,0.005489749701231069,-1.3471313193078003,-0.8817382310727441,0.13313010649417736,0.010539722753749465,0.1859589124524127,-5.124044737102755
0.48,0.9182488174043829,0.005040956171001492,-1.4214480360496662,-0.9572011201485526,0.132537800477869,0.011297085519736485,0.1953527581771316,-5.204872616261223
0.54,0.916894780092787,0.004622026399867792,-1.4460426156265527,-1.0222826725223095,0.13234236202628333,0.012171325483960814,0.20634967257680314,-5.290159498424203
0.6,0.9194649094013618,0.004249791085005139,-1.399389972693547,-1.074922942006688,0.13271332823832277,0.01313717403485995,0.21850757782861793,-5.3769220553617965
0.66,0.9267597899080985,0.003938535493092673,-1.2676812218006095,-1.1127061082397494,0.1337662535443904,0.014144468665515745,0.23098922960335475,-5.460885453723409
