time,max_abs_profile_error,reversed_profile_error,best_shift_profile_error,best_global_shift,solver_peak_z,gkw_peak_z,solver_peak_value,gkw_peak_value,solver_total_power,gkw_total_power,total_power_ratio,center_of_power_error,edge_fraction_error,peak_z_error,second_moment_error,global_worst_time,global_worst_z,global_worst_signed_profile_error,global_worst_solver_value,global_worst_gkw_value,normalized_profiles,status,notes
0.06,0.017781715194528813,0.017781715194528813,0.017781715194528813,0,0.09375,-0.09375,0.472431528630027,0.4546498134354984,0.9999999999999999,1.000000410347692,0.9999995896524759,8.326672684688674e-17,-4.375542858932797e-07,0.1875,-0.00022409515292685575,3.7800000000000002,-0.09375,0.029625447419939166,0.35698553011960743,0.32736008269966826,True,OPEN,observed=stellarator_gk; reference=gkw:parallel_phi.dat; parallel |phi|^2 profile alignment/normalization audit
0.12,0.0183170592223994,0.0183170592223994,0.0183170592223994,0,-0.09375,-0.09375,0.47232144295403605,0.4540043837316367,1.0,0.9999991547842919,1.0000008452164224,-1.3877787807814457e-17,4.6677437880165436e-07,0.0,-0.000842820896298252,3.7800000000000002,-0.09375,0.029625447419939166,0.35698553011960743,0.32736008269966826,True,OPEN,observed=stellarator_gk; reference=gkw:parallel_phi.dat; parallel |phi|^2 profile alignment/normalization audit
0.18,0.01883075123067357,0.01883075123067357,0.01883075123067357,0,0.09375,-0.09375,0.47188614776815424,0.4530553965374806,1.0,0.9999991247483561,1.00000087525241,5.551115123125783e-17,1.2276226283909945e-06,0.1875,-0.0002899973263403646,3.7800000000000002,-0.09375,0.029625447419939166,0.35698553011960743,0.32736008269966826,True,OPEN,observed=stellarator_gk; reference=gkw:parallel_phi.dat; parallel |phi|^2 profile alignment/normalization audit
0.24,0.019272586829842342,0.019272586829842342,0.019272586829842342,0,-0.09375,-0.09375,0.47115027892552525,0.451877692095683,1.0000000000000004,1.00000068138862,0.9999993186118445,-1.3877787807814457e-17,2.9118505384990595e-06,0.0,-0.0017693934268876443,3.7800000000000002,-0.09375,0.029625447419939166,0.35698553011960743,0.32736008269966826,True,OPEN,observed=stellarator_gk; reference=gkw:parallel_phi.dat; parallel |phi|^2 profile alignment/normalization audit
0.3,0.019363382356834602,0.019363382356834602,0.019363382356834602,0,-0.09375,-0.09375,0.4699776081766925,0.4506142258198578,0.9999999999999998,0.99999949886212,1.000000501138131,-3.469446951953614e-17,3.1710517674986246e-06,0.0,-0.0013477045757316272,3.7800000000000002,-0.09375,0.029625447419939166,0.35698553011960743,0.32736008269966826,True,OPEN,observed=stellarator_gk; reference=gkw:parallel_phi.dat; parallel |phi|^2 profile alignment/normalization audit
0.36,0.018983694027375764,0.018983694027375764,0.018983694027375764,0,0.09375,-0.09375,0.46821753651309755,0.4492338424857218,1.0,1.0000003506287,0.9999996493714228,9.020562075079397e-17,7.001686699947665e-06,0.1875,0.000793631654746281,3.7800000000000002,-0.09375,0.029625447419939166,0.35698553011960743,0.32736008269966826,True,OPEN,observed=stellarator_gk; reference=gkw:parallel_phi.dat; parallel |phi|^2 profile alignment/normalization audit
0.42,0.018259281364718695,0.018259281364718695,0.018259281364718695,0,-0.09375,-0.09375,0.46563079659870804,0.447546911055431,1.0,1.0000001987379799,0.9999998012620597,-4.85722573273506e-17,2.5219002781238243e-06,0.0,0.0013666042561061471,3.7800000000000002,-0.09375,0.029625447419939166,0.35698553011960743,0.32736008269966826,True,OPEN,observed=stellarator_gk; reference=gkw:parallel_phi.dat; parallel |phi|^2 profile alignment/normalization audit
0.48,0.01811588044067134,0.01811588044067134,0.01811588044067134,0,0.09375,-0.09375,0.4623942474707975,0.445197232906446,1.0000000000000004,0.9999994768466001,1.0000005231536737,1.3877787807814457e-17,1.5584304858261779e-07,0.1875,0.0034044676686466498,3.7800000000000002,-0.09375,0.029625447419939166,0.35698553011960743,0.32736008269966826,True,OPEN,observed=stellarator_gk; reference=gkw:parallel_phi.dat; parallel |phi|^2 profile alignment/normalization audit
0.54,0.017906745778473225,0.017906745778473225,0.017906745778473225,0,-0.09375,-0.09375,0.45955440225387584,0.44258082882628785,1.0,1.0000003867626002,0.9999996132375498,-1.5959455978986625e-16,3.377517567822664e-07,0.0,0.003475459884232413,3.7800000000000002,-0.09375,0.029625447419939166,0.35698553011960743,0.32736008269966826,True,OPEN,observed=stellarator_gk; reference=gkw:parallel_phi.dat; parallel |phi|^2 profile alignment/normalization audit
0.6,0.01776870299797642,0.01776870299797642,0.01776870299797642,0,-0.09375,-0.09375,0.45696742410719315,0.4403231132799899,1.0,0.9999997427344001,1.000000257265666,-3.469446951953614e-17,5.58778969360522e-06,0.0,0.008712171620648284,3.7800000000000002,-0.09375,0.029625447419939166,0.35698553011960743,0.32736008269966826,True,OPEN,observed=stellarator_gk; reference=gkw:parallel_phi.dat; parallel |phi|^2 profile alignment/normalization audit
0.66,0.017659890922830344,0.017659890922830344,0.017659890922830344,0,-0.09375,-0.09375,0.4552897512466674,0.43851995807773764,1.0,1.00000009559944,0.9999999044005692,-5.551115123125783e-17,3.0717713564508975e-06,0.0,0.010093756040795168,3.7800000000000002,-0.09375,0.029625447419939166,0.35698553011960743,0.32736008269966826,True,OPEN,observed=stellarator_gk; reference=gkw:parallel_phi.dat; parallel |phi|^2 profile alignment/normalization audit
0.72,0.01755265197584966,0.01755265197584966,0.01755265197584966,0,-0.09375,-0.09375,0.45508635065928765,0.437942189573875,1.0,0.9999995671258,1.0000004328743872,-2.7755575615628914e-17,1.023910137943178e-06,0.0,0.009084009461649944,3.7800000000000002,-0.09375,0.029625447419939166,0.35698553011960743,0.32736008269966826,True,OPEN,observed=stellarator_gk; reference=gkw:parallel_phi.dat; parallel |phi|^2 profile alignment/normalization audit
0.78,0.017305791208686222,0.017305791208686222,0.017305791208686222,0,0.09375,-0.09375,0.45483239887071336,0.4377673964622915,0.9999999999999998,0.999999094354,1.00000090564682,6.938893903907228e-18,-5.990002325776246e-06,0.1875,0.006945775433480114,3.7800000000000002,-0.09375,0.029625447419939166,0.35698553011960743,0.32736008269966826,True,OPEN,observed=stellarator_gk; reference=gkw:parallel_phi.dat; parallel |phi|^2 profile alignment/normalization audit
0.84,0.016739430971848025,0.016739430971848025,0.016739430971848025,0,-0.09375,-0.09375,0.45483146009590153,0.43898428594330147,1.0,0.9999993486252,1.0000006513752242,0.0,-5.754754779672814e-06,0.0,0.0170431324152489,3.7800000000000002,-0.09375,0.029625447419939166,0.35698553011960743,0.32736008269966826,True,OPEN,observed=stellarator_gk; reference=gkw:parallel_phi.dat; parallel |phi|^2 profile alignment/normalization audit
0.9,0.015333372626684688,0.015333372626684688,0.015333372626684688,0,0.09375,-0.09375,0.4550860126076861,0.44030476525151435,1.0,1.0000005331500001,0.9999994668502838,-2.0816681711721685e-17,-6.52593453448555e-07,0.1875,0.008800349420350434,3.7800000000000002,-0.09375,0.029625447419939166,0.35698553011960743,0.32736008269966826,True,OPEN,observed=stellarator_gk; reference=gkw:parallel_phi.dat; parallel |phi|^2 profile alignment/normalization audit
0.96,0.01292468872962399,0.01292468872962399,0.01292468872962399,0,-0.09375,-0.09375,0.45431807556529213,0.4414816406365934,0.9999999999999999,1.000000813994,0.9999991860066626,-2.0816681711721685e-17,-2.3997602443387087e-06,0.0,0.004777452535889959,3.7800000000000002,-0.09375,0.029625447419939166,0.35698553011960743,0.32736008269966826,True,OPEN,observed=stellarator_gk; reference=gkw:parallel_phi.dat; parallel |phi|^2 profile alignment/normalization audit
1.02,0.010329484511918952,0.010329484511918952,0.010329484511918952,0,0.09375,-0.09375,0.4530752934910107,0.44274580897909177,1.0,1.0000004314459998,0.9999995685541864,6.245004513516506e-17,7.262678981700815e-06,0.1875,0.002147276607199086,3.7800000000000002,-0.09375,0.029625447419939166,0.35698553011960743,0.32736008269966826,True,OPEN,observed=stellarator_gk; reference=gkw:parallel_phi.dat; parallel |phi|^2 profile alignment/normalization audit
1.08,0.005696266766277193,0.005696266766277193,0.005696266766277193,0,-0.09375,-0.09375,0.448447007343534,0.4428006316828626,0.9999999999999996,1.00000083179,0.9999991682106916,-1.0408340855860843e-16,-2.530582766627955e-06,0.0,0.04645538037402549,3.7800000000000002,-0.09375,0.029625447419939166,0.35698553011960743,0.32736008269966826,True,OPEN,observed=stellarator_gk; reference=gkw:parallel_phi.dat; parallel |phi|^2 profile alignment/normalization audit
1.1400000000000001,0.0034741522232658584,0.0034741522232658584,0.0034741522232658584,0,0.09375,-0.09375,0.444876973642278,0.4414028214190121,0.9999999999999998,1.000000404576,0.9999995954241636,1.3877787807814457e-17,-1.555115898626681e-06,0.1875,-0.004040055181511633,3.7800000000000002,-0.09375,0.029625447419939166,0.35698553011960743,0.32736008269966826,True,OPEN,observed=stellarator_gk; reference=gkw:parallel_phi.dat; parallel |phi|^2 profile alignment/normalization audit
1.2,0.0023094700162116302,0.0023094700162116302,0.0023094700162116302,0,-0.09375,-0.09375,0.43813593410574836,0.4387654084370659,0.9999999999999993,0.999999069122,1.000000930878866,-1.3877787807814457e-17,2.7007966540677215e-06,0.0,0.007669597648439348,3.7800000000000002,-0.09375,0.029625447419939166,0.35698553011960743,0.32736008269966826,True,OPEN,observed=stellarator_gk; reference=gkw:parallel_phi.dat; parallel |phi|^2 profile alignment/normalization audit
