time,raw_amplitude,physical_amplitude,window_growth,fitted_growth,phi_norm,state_norm,rhs_norm,log_normalization
0.3,0.4281186081267583,0.4281186081267583,-2.82785,0.0,0.0,0.0,0.0,0.0
0.6,0.3076323124164996,0.3076323124164996,-1.10165,-1.1016499999999996,0.0,0.0,0.0,0.0
0.899999,0.25407988272873383,0.25407988272873383,-0.637524,-0.869587515696415,0.0,0.0,0.0,0.0
1.2,0.23800743166904,0.23800743166904,-0.217822,-0.650850641877506,0.0,0.0,0.0,0.0
1.5,0.2156116555754333,0.2156116555754333,-0.32941,-0.5428152728549644,0.0,0.0,0.0,0.0
1.8,0.19854583865537906,0.19854583865537906,-0.274863,-0.4736691571127808,0.0,0.0,0.0,0.0
2.1,0.19426786005652602,0.19426786005652602,-0.0726069,-0.40600317051516244,0.0,0.0,0.0,0.0
2.4,0.19643406514872574,0.19643406514872574,0.036963,-0.3408951687457905,0.0,0.0,0.0,0.0
2.7,0.20137104849480172,0.20137104849480172,0.0827413,-0.28226900731960636,0.0,0.0,0.0,0.0
3.0,0.20738771873475254,0.20738771873475254,0.0981362,-0.23167358868874258,0.0,0.0,0.0,0.0
3.3,0.21571916046579726,0.21571916046579726,0.131291,-0.1875776984788566,0.0,0.0,0.0,0.0
3.6,0.2271350282370685,0.2271350282370685,0.171891,-0.14831204347334564,0.0,0.0,0.0,0.0
3.9,0.2416606039296296,0.2416606039296296,0.206632,-0.11287860276280416,0.0,0.0,0.0,0.0
4.2,0.25849658387673885,0.25849658387673885,0.224494,-0.08096693745120467,0.0,0.0,0.0,0.0
4.50001,0.2762119451263572,0.2762119451263572,0.220946,-0.052676201573761385,0.0,0.0,0.0,0.0
4.80001,0.29376022934205,0.29376022934205,0.205318,-0.02805537843312295,0.0,0.0,0.0,0.0
5.10002,0.3108605981105672,0.3108605981105672,0.188596,-0.006910509535812311,0.0,0.0,0.0,0.0
5.40003,0.32828511766661095,0.32828511766661095,0.181787,0.011238574293466702,0.0,0.0,0.0,0.0
5.70004,0.3475065760164491,0.3475065760164491,0.189664,0.027046806608640117,0.0,0.0,0.0,0.0
6.00004,0.3697535817941868,0.3697535817941868,0.206844,0.041132696311297054,0.0,0.0,0.0,0.0
6.30005,0.39501482325472165,0.39501482325472165,0.220281,0.05388657240803975,0.0,0.0,0.0,0.0
6.60006,0.4217522998461594,0.4217522998461594,0.218309,0.06541429522740515,0.0,0.0,0.0,0.0
6.90006,0.4477270908185474,0.4477270908185474,0.199219,0.075639738619726,0.0,0.0,0.0,0.0
7.20007,0.47150749569340533,0.47150749569340533,0.172498,0.08448192960052978,0.0,0.0,0.0,0.0
7.50008,0.4936108365802606,0.4936108365802606,0.152703,0.09199497345425073,0.0,0.0,0.0,0.0
7.80008,0.5163288282286741,0.5163288282286741,0.149988,0.09839830508133787,0.0,0.0,0.0,0.0
8.10009,0.5424282779897905,0.5424282779897905,0.164368,0.10400389166278506,0.0,0.0,0.0,0.0
8.4001,0.5734440217080244,0.5734440217080244,0.185342,0.10909215238244482,0.0,0.0,0.0,0.0
8.7001,0.6089275673595745,0.6089275673595745,0.20013,0.11382567976318873,0.0,0.0,0.0,0.0
9.00011,0.6471996049879785,0.6471996049879785,0.203178,0.11825005709210948,0.0,0.0,0.0,0.0
9.30012,0.6867772019293317,0.6867772019293317,0.197844,0.12235304692643131,0.0,0.0,0.0,0.0
9.60012,0.7273119908638571,0.7273119908638571,0.191152,0.12612423999065617,0.0,0.0,0.0,0.0
9.90013,0.7695761560393135,0.7695761560393135,0.188275,0.12958245798669343,0.0,0.0,0.0,0.0
10.2001,0.8146832766272113,0.8146832766272113,0.189884,0.13276925978441048,0.0,0.0,0.0,0.0
10.5001,0.8632568920463454,0.8632568920463454,0.193043,0.1357271170597804,0.0,0.0,0.0,0.0
10.8002,0.9150778520595361,0.9150778520595361,0.194258,0.13848242550959275,0.0,0.0,0.0,0.0
11.1002,0.969276043441296,0.969276043441296,0.191801,0.1410419614483908,0.0,0.0,0.0,0.0
11.4002,1.025146333603796,1.025146333603796,0.186804,0.14340334447836872,0.0,0.0,0.0,0.0
11.7002,1.082750937423052,1.082750937423052,0.182232,0.14556893369227844,0.0,0.0,0.0,0.0
12.0002,1.143032326873803,1.143032326873803,0.180599,0.14755368145847864,0.0,0.0,0.0,0.0
12.3002,1.2072705489225883,1.2072705489225883,0.182258,0.1493827241086476,0.0,0.0,0.0,0.0
12.6002,1.27624831075057,1.27624831075057,0.185209,0.15108164706853358,0.0,0.0,0.0,0.0
12.9002,1.3497140657814,1.3497140657814,0.18656,0.1526667927422298,0.0,0.0,0.0,0.0
13.2002,1.4266180837392968,1.4266180837392968,0.184713,0.1541424953827361,0.0,0.0,0.0,0.0
13.5002,1.5060349961031418,1.5060349961031418,0.180579,0.15550661738857857,0.0,0.0,0.0,0.0
13.8002,1.588088619331121,1.588088619331121,0.176836,0.15675957343282487,0.0,0.0,0.0,0.0
14.1002,1.674161205298068,1.674161205298068,0.175937,0.15791024462074335,0.0,0.0,0.0,0.0
14.4002,1.7661466983709129,1.7661466983709129,0.178293,0.1589749482268748,0.0,0.0,0.0,0.0
14.7002,1.865276252687864,1.865276252687864,0.18203,0.15997095497356584,0.0,0.0,0.0,0.0
15.0002,1.97142526689153,1.97142526689153,0.184492,0.16090982345149119,0.0,0.0,0.0,0.0
