variant,term_v_phi_variant,term_vii_phi_variant,term_viii_phi_variant,direct_max_abs_error,direct_l2_error,direct_relative_l2_error,best_layout,best_layout_max_abs_error,best_layout_l2_error,peak_z,is_best_direct,is_best_layout
baseline,identity,identity,identity,3.5348895748192916e-02,8.4556256887820692e-03,3.7849390418301498e-01,reverse_vpar_columns:identity,1.8543579974657488e-02,5.5337409223576864e-03,9.3750000000000000e-02,False,False
flip_all_field_terms,negative,negative,negative,1.2796120197506905e-01,3.6690266224751085e-02,1.6423435260792048e+00,direct_mu_rows_vpar_columns:identity,1.2796120197506905e-01,3.6690266224751085e-02,-9.3750000000000000e-02,False,False
flip_term_v_and_viii_only,negative,identity,negative,1.0849178091209488e-01,3.5658739848464911e-02,1.5961699536200686e+00,reverse_vpar_columns:identity,1.0378913188129117e-01,3.5866910029116586e-02,9.3750000000000000e-02,False,False
flip_term_vii_only,identity,negative,identity,2.0101624217751909e-02,6.0121896691003188e-03,2.6911990008800141e-01,direct_mu_rows_vpar_columns:identity,2.0101624217751909e-02,6.0121896691003188e-03,-9.3750000000000000e-02,False,False
conjugate_all_field_terms,conjugate,conjugate,conjugate,7.4813630705807418e-02,1.6116252742496989e-02,7.2140177981158071e-01,roll_vpar_minus_1:identity,6.8500479797268352e-02,1.6534789318620902e-02,9.3750000000000000e-02,False,False
conjugate_term_vii_only,identity,conjugate,identity,1.5960455573774259e-02,5.1136609170746262e-03,2.2889961741559259e-01,direct_mu_rows_vpar_columns:identity,1.5960455573774259e-02,5.1136609170746262e-03,-9.3750000000000000e-02,True,True
negative_conjugate_all_field_terms,negative_conjugate,negative_conjugate,negative_conjugate,1.1470706992462161e-01,3.4219698955564891e-02,1.5317550627675394e+00,roll_vpar_minus_1:conjugate,1.0094473017611406e-01,3.1259742730913032e-02,9.3750000000000000e-02,False,False
negative_conjugate_term_vii_only,identity,negative_conjugate,identity,1.6980699849443844e-02,5.1342739902211550e-03,2.2982230756527486e-01,direct_mu_rows_vpar_columns:identity,1.6980699849443844e-02,5.1342739902211550e-03,-9.3750000000000000e-02,False,False
