metric,value
max_abs_error,0.05845543963934988
times_error,7.016609515630989e-14
phi_direct_error,0.33358490382424305
phi_conjugate_error,1.1657992117947968
phi_phase_aligned_error,0.05845543963934988
phi_conjugate_phase_aligned_error,0.13440318912107235
state_direct_error,0.14360128662026936
state_reverse_vpar_error,0.23656817732771251
state_phase_aligned_error,0.04780479264318512
state_reverse_vpar_phase_aligned_error,0.1813647945882065
passed,False
notes,observed=fixtures/gkw_cyclone_selected_ky_cosin2_selected_state; reference=stellarator_gk; best_state_layout=direct_phase_aligned; best_phi_layout=direct_phase_aligned; selected-mode state trace comparison

step,time,phi_max_gkw,phi_max_solver,phi_phase_aligned_max_error,state_max_gkw,state_max_solver,state_phase_aligned_max_error,state_phase_aligned_relative_l2
20,0.06,0.6742772602473351,0.6873365468458855,0.05845543963934988,0.015632707642132652,0.01886978133771273,0.006818132998122401,0.21828000073318485
800,2.39999999999998,0.5967958566219002,0.6027130949276694,0.018378923086510707,0.39107726025361506,0.4125065165849672,0.04780479264318512,0.3192978051120589
1600,4.80000000000007,0.5774432619438029,0.593285073862235,0.022410586314055816,0.3169478710606656,0.3198005473131363,0.02875536008526968,0.15595850336549516
