t_end,t_start,observed,reference,normalized_residual,status,notes
0.02,0.01,0.999924864885782,0.0711,928.824864885782,OPEN,"long-time RH plateau gate; status=completed, t_start=0.01, t_end=0.02, diagnostic_interval=0.01, disp_par=0.01, z_modal_damping=0, vpar_modal_damping=0, mu_modal_damping=0, plateau_spread=0.000000e+00; production pass remains open until residual and plateau spread both pass"
0.04,0.02,0.999765214904652,0.0711,928.6652149046519,OPEN,"long-time RH plateau gate; status=completed, t_start=0.02, t_end=0.04, diagnostic_interval=0.01, disp_par=0.01, z_modal_damping=0, vpar_modal_damping=0, mu_modal_damping=0, plateau_spread=1.314687e-04; production pass remains open until residual and plateau spread both pass"
0.06,0.03,0.9995179856895097,0.0711,928.4179856895096,OPEN,"long-time RH plateau gate; status=completed, t_start=0.03, t_end=0.06, diagnostic_interval=0.01, disp_par=0.01, z_modal_damping=0, vpar_modal_damping=0, mu_modal_damping=0, plateau_spread=3.755120e-04; production pass remains open until residual and plateau spread both pass"
0.08,0.04,0.9991832761353031,0.0711,928.0832761353031,OPEN,"long-time RH plateau gate; status=completed, t_start=0.04, t_end=0.08, diagnostic_interval=0.01, disp_par=0.01, z_modal_damping=0, vpar_modal_damping=0, mu_modal_damping=0, plateau_spread=7.319404e-04; production pass remains open until residual and plateau spread both pass"
0.1,0.05,0.9987612200398621,0.0711,927.6612200398622,OPEN,"long-time RH plateau gate; status=completed, t_start=0.05, t_end=0.1, diagnostic_interval=0.01, disp_par=0.01, z_modal_damping=0, vpar_modal_damping=0, mu_modal_damping=0, plateau_spread=1.200487e-03; production pass remains open until residual and plateau spread both pass"
