case,iteration,objective,objective_error,growth_residual,absolute_growth_residual,selected_growth,max_growth,q,shat,temperature_gradient,density_gradient
A,2.9000000000000000e+01,5.7881588524030360e-03,5.7881588524030360e-03,1.0759329767604520e-01,1.0759329767604520e-01,1.0759329767604520e-01,1.0759329767604520e-01,1.2510218970949027e+00,4.4970919014704913e-01,2.1000001627876319e+00,7.9999975425682934e-01
A,3.0000000000000000e+01,5.7649227835001246e-03,5.7649227835001246e-03,1.0737711845174580e-01,1.0737711845174580e-01,1.0737711845174580e-01,1.0737711845174580e-01,1.2510562448766804e+00,4.4969965336835144e-01,2.1000001683052383e+00,7.9999974588389011e-01
A,3.1000000000000000e+01,5.7417147231286266e-03,5.7417147231286266e-03,1.0716076449082124e-01,1.0716076449082124e-01,1.0716076449082124e-01,1.0716076449082124e-01,1.2510905326732027e+00,4.4969014936290042e-01,2.1000001738162228e+00,7.9999973751808795e-01
A,3.2000000000000000e+01,5.7185348113801219e-03,5.7185348113801219e-03,1.0694423604271641e-01,1.0694423604271641e-01,1.0694423604271641e-01,1.0694423604271641e-01,1.2511247604204900e+00,4.4968067813143497e-01,2.1000001793205625e+00,7.9999972915946327e-01
A,3.3000000000000000e+01,5.6953831891600167e-03,5.6953831891600167e-03,1.0672753336566920e-01,1.0672753336566920e-01,1.0672753336566920e-01,1.0672753336566920e-01,1.2511589280544237e+00,4.4967123967440825e-01,2.1000001848182337e+00,7.9999972080805648e-01
A,3.4000000000000000e+01,5.6722599981491950e-03,5.6722599981491950e-03,1.0651065672644400e-01,1.0651065672644400e-01,1.0651065672644400e-01,1.0651065672644400e-01,1.2511930355107488e+00,4.4966183399198539e-01,2.1000001903092125e+00,7.9999971246390822e-01
A,3.5000000000000000e+01,5.6491653808556832e-03,5.6491653808556832e-03,1.0629360640090901e-01,1.0629360640090901e-01,1.0629360640090901e-01,1.0629360640090901e-01,1.2512270827250753e+00,4.4965246108404150e-01,2.1000001957934757e+00,7.9999970412705923e-01
A,3.6000000000000000e+01,5.6260994805760293e-03,5.6260994805760293e-03,1.0607638267376984e-01,1.0607638267376984e-01,1.0607638267376984e-01,1.0607638267376984e-01,1.2512610696328805e+00,4.4964312095015929e-01,2.1000002012710000e+00,7.9999969579755048e-01
A,3.7000000000000000e+01,5.6030624413993275e-03,5.6030624413993275e-03,1.0585898583870268e-01,1.0585898583870268e-01,1.0585898583870268e-01,1.0585898583870268e-01,1.2512949961695112e+00,4.4963381358962712e-01,2.1000002067417611e+00,7.9999968747542294e-01
A,3.8000000000000000e+01,5.5800544082110336e-03,5.5800544082110336e-03,1.0564141619848755e-01,1.0564141619848755e-01,1.0564141619848755e-01,1.0564141619848755e-01,1.2513288622701852e+00,4.4962453900143662e-01,2.1000002122057357e+00,7.9999967916071768e-01
A,3.9000000000000000e+01,5.5570755266965968e-03,5.5570755266965968e-03,1.0542367406514153e-01,1.0542367406514153e-01,1.0542367406514153e-01,1.0542367406514153e-01,1.2513626678699945e+00,4.4961529718428067e-01,2.1000002176629002e+00,7.9999967085347601e-01
A,4.0000000000000000e+01,5.5341259433215250e-03,5.5341259433215250e-03,1.0520575975982993e-01,1.0520575975982993e-01,1.0520575975982993e-01,1.0520575975982993e-01,1.2513964129039066e+00,4.4960608813655106e-01,2.1000002231132306e+00,7.9999966255373933e-01
A,4.1000000000000000e+01,5.5112058053441854e-03,5.5112058053441854e-03,1.0498767361308836e-01,1.0498767361308836e-01,1.0498767361308836e-01,1.0498767361308836e-01,1.2514300973067667e+00,4.4959691185633638e-01,2.1000002285567030e+00,7.9999965426154918e-01
A,4.2000000000000000e+01,5.4883152608096756e-03,5.4883152608096756e-03,1.0476941596486711e-01,1.0476941596486711e-01,1.0476941596486711e-01,1.0476941596486711e-01,1.2514637210133006e+00,4.4958776834141989e-01,2.1000002339932937e+00,7.9999964597694706e-01
A,4.3000000000000000e+01,5.4654544585436213e-03,5.4654544585436213e-03,1.0455098716457556e-01,1.0455098716457556e-01,1.0455098716457556e-01,1.0455098716457556e-01,1.2514972839581162e+00,4.4957865758927718e-01,2.1000002394229789e+00,7.9999963769997484e-01
A,4.4000000000000000e+01,5.4426235481458878e-03,5.4426235481458878e-03,1.0433238757112662e-01,1.0433238757112662e-01,1.0433238757112662e-01,1.0433238757112662e-01,1.2515307860757066e+00,4.4956957959707411e-01,2.1000002448457340e+00,7.9999962943067449e-01
A,4.5000000000000000e+01,5.4198226800165721e-03,5.4198226800165721e-03,1.0411361755329196e-01,1.0411361755329196e-01,1.0411361755329196e-01,1.0411361755329196e-01,1.2515642273004510e+00,4.4956053436166454e-01,2.1000002502615356e+00,7.9999962116908796e-01
A,4.6000000000000000e+01,5.3970520053076895e-03,5.3970520053076895e-03,1.0389467748934678e-01,1.0389467748934678e-01,1.0389467748934678e-01,1.0389467748934678e-01,1.2515976075666191e+00,4.4955152187958813e-01,2.1000002556703596e+00,7.9999961291525734e-01
A,4.7000000000000000e+01,5.3743116759443661e-03,5.3743116759443661e-03,1.0367556776738063e-01,1.0367556776738063e-01,1.0367556776738063e-01,1.0367556776738063e-01,1.2516309268083716e+00,4.4954254214706812e-01,2.1000002610721817e+00,7.9999960466922493e-01
A,4.8000000000000000e+01,5.3516018446409970e-03,5.3516018446409970e-03,1.0345628878556390e-01,1.0345628878556390e-01,1.0345628878556390e-01,1.0345628878556390e-01,1.2516641849597638e+00,4.4953359516000918e-01,2.1000002664669783e+00,7.9999959643103313e-01
A,4.9000000000000000e+01,5.3289226648528540e-03,5.3289226648528540e-03,1.0323684095179253e-01,1.0323684095179253e-01,1.0323684095179253e-01,1.0323684095179253e-01,1.2516973819547472e+00,4.4952468091399517e-01,2.1000002718547246e+00,7.9999958820072448e-01
A,5.0000000000000000e+01,5.3062742908150532e-03,5.3062742908150532e-03,1.0301722468417651e-01,1.0301722468417651e-01,1.0301722468417651e-01,1.0301722468417651e-01,1.2517305177271729e+00,4.4951579940428693e-01,2.1000002772353965e+00,7.9999957997834148e-01
A,5.1000000000000000e+01,5.2836568775123877e-03,5.2836568775123877e-03,1.0279744041086225e-01,1.0279744041086225e-01,1.0279744041086225e-01,1.0279744041086225e-01,1.2517635922107933e+00,4.4950695062582002e-01,2.1000002826089701e+00,7.9999957176392700e-01
A,5.2000000000000000e+01,5.2610705806949137e-03,5.2610705806949137e-03,1.0257748857029902e-01,1.0257748857029902e-01,1.0257748857029902e-01,1.0257748857029902e-01,1.2517966053392648e+00,4.4949813457320259e-01,2.1000002879754209e+00,7.9999956355752389e-01
A,5.3000000000000000e+01,5.2385155568522579e-03,5.2385155568522579e-03,1.0235736961110575e-01,1.0235736961110575e-01,1.0235736961110575e-01,1.0235736961110575e-01,1.2518295570461511e+00,4.4948935124071310e-01,2.1000002933347246e+00,7.9999955535917522e-01
A,5.4000000000000000e+01,5.2159919632334337e-03,5.2159919632334337e-03,1.0213708399238186e-01,1.0213708399238186e-01,1.0213708399238186e-01,1.0213708399238186e-01,1.2518624472649245e+00,4.4948060062229817e-01,2.1000002986868567e+00,7.9999954716892396e-01
A,5.5000000000000000e+01,5.1934999578390649e-03,5.1934999578390649e-03,1.0191663218375169e-01,1.0191663218375169e-01,1.0191663218375169e-01,1.0191663218375169e-01,1.2518952759289697e+00,4.4947188271157035e-01,2.1000003040317932e+00,7.9999953898681353e-01
A,5.6000000000000000e+01,5.1710396993819175e-03,5.1710396993819175e-03,1.0169601466509803e-01,1.0169601466509803e-01,1.0169601466509803e-01,1.0169601466509803e-01,1.2519280429715860e+00,4.4946319750180580e-01,2.1000003093695092e+00,7.9999953081288711e-01
A,5.7000000000000000e+01,5.1486113473468926e-03,5.1486113473468926e-03,1.0147523192727270e-01,1.0147523192727270e-01,1.0147523192727270e-01,1.0147523192727270e-01,1.2519607483259900e+00,4.4945454498594228e-01,2.1000003146999804e+00,7.9999952264718821e-01
A,5.8000000000000000e+01,5.1262150619286583e-03,5.1262150619286583e-03,1.0125428447160800e-01,1.0125428447160800e-01,1.0125428447160800e-01,1.0125428447160800e-01,1.2519933919253186e+00,4.4944592515657672e-01,2.1000003200231823e+00,7.9999951448976048e-01
A,5.9000000000000000e+01,5.1038510040551446e-03,5.1038510040551446e-03,1.0103317281027202e-01,1.0103317281027202e-01,1.0103317281027202e-01,1.0103317281027202e-01,1.2520259737026311e+00,4.4943733800596308e-01,2.1000003253390904e+00,7.9999950634064765e-01
A,6.0000000000000000e+01,5.0815193353881596e-03,5.0815193353881596e-03,1.0081189746640185e-01,1.0081189746640185e-01,1.0081189746640185e-01,1.0081189746640185e-01,1.2520584935909131e+00,4.4942878352601029e-01,2.1000003306476800e+00,7.9999949819989347e-01
A,6.1000000000000000e+01,5.0592202182925382e-03,5.0592202182925382e-03,1.0059045897392593e-01,1.0059045897392593e-01,1.0059045897392593e-01,1.0059045897392593e-01,1.2520909515230783e+00,4.4942026170827976e-01,2.1000003359489265e+00,7.9999949006754190e-01
A,6.2000000000000000e+01,5.0369538158589900e-03,5.0369538158589900e-03,1.0036885787791938e-01,1.0036885787791938e-01,1.0036885787791938e-01,1.0036885787791938e-01,1.2521233474319715e+00,4.4941177254398335e-01,2.1000003412428057e+00,7.9999948194363690e-01
A,6.3000000000000000e+01,5.0147202918953138e-03,5.0147202918953138e-03,1.0014709473464833e-01,1.0014709473464833e-01,1.0014709473464833e-01,1.0014709473464833e-01,1.2521556812503727e+00,4.4940331602398120e-01,2.1000003465292925e+00,7.9999947382822278e-01
A,6.4000000000000000e+01,4.9925198108953491e-03,4.9925198108953491e-03,9.9925170111392347e-02,9.9925170111392347e-02,9.9925170111392347e-02,9.9925170111392347e-02,1.2521879529109985e+00,4.4939489213877937e-01,2.1000003518083621e+00,7.9999946572134373e-01
A,6.5000000000000000e+01,4.9703525380701196e-03,4.9703525380701196e-03,9.9703084586888480e-02,9.9703084586888480e-02,9.9703084586888480e-02,9.9703084586888480e-02,1.2522201623465059e+00,4.4938650087852772e-01,2.1000003570799897e+00,7.9999945762304414e-01
A,6.6000000000000000e+01,4.9482186393165171e-03,4.9482186393165171e-03,9.9480838751153655e-02,9.9480838751153655e-02,9.9480838751153655e-02,9.9480838751153655e-02,1.2522523094894953e+00,4.4937814223301770e-01,2.1000003623441508e+00,7.9999944953336855e-01
A,6.7000000000000000e+01,4.9261182812302779e-03,4.9261182812302779e-03,9.9258433205751118e-02,9.9258433205751118e-02,9.9258433205751118e-02,9.9258433205751118e-02,1.2522843942725135e+00,4.4936981619168015e-01,2.1000003676008205e+00,7.9999944145236157e-01
A,6.8000000000000000e+01,4.9040516310789924e-03,4.9040516310789924e-03,9.9035868563657203e-02,9.9035868563657203e-02,9.9035868563657203e-02,9.9035868563657203e-02,1.2523164166280565e+00,4.4936152274358304e-01,2.1000003728499741e+00,7.9999943338006796e-01
A,6.9000000000000000e+01,4.8820188568235445e-03,4.8820188568235445e-03,9.8813145449616613e-02,9.8813145449616613e-02,9.8813145449616613e-02,9.8813145449616613e-02,1.2523483764885728e+00,4.4935326187742936e-01,2.1000003780915866e+00,7.9999942531653245e-01
A,7.0000000000000000e+01,4.8600201270865076e-03,4.8600201270865076e-03,9.8590264499964775e-02,9.8590264499964775e-02,9.8590264499964775e-02,9.8590264499964775e-02,1.2523802737864669e+00,4.4934503358155486e-01,2.1000003833256327e+00,7.9999941726180002e-01
A,7.1000000000000000e+01,4.8380556111688117e-03,4.8380556111688117e-03,9.8367226362938709e-02,9.8367226362938709e-02,9.8367226362938709e-02,9.8367226362938709e-02,1.2524121084541022e+00,4.4933683784392597e-01,2.1000003885520879e+00,7.9999940921591572e-01
A,7.2000000000000000e+01,4.8161254790223852e-03,4.8161254790223852e-03,9.8144031698543799e-02,9.8144031698543799e-02,9.8144031698543799e-02,9.8144031698543799e-02,1.2524438804238043e+00,4.4932867465213744e-01,2.1000003937709271e+00,7.9999940117892476e-01
A,7.3000000000000000e+01,4.7942299012664292e-03,4.7942299012664292e-03,9.7920681178864655e-02,9.7920681178864655e-02,9.7920681178864655e-02,9.7920681178864655e-02,1.2524755896278639e+00,4.4932054399341026e-01,2.1000003989821256e+00,7.9999939315087232e-01
A,7.4000000000000000e+01,4.7723690491555410e-03,4.7723690491555410e-03,9.7697175487887478e-02,9.7697175487887478e-02,9.7697175487887478e-02,9.7697175487887478e-02,1.2525072359985407e+00,4.4931244585458952e-01,2.1000004041856584e+00,7.9999938513180380e-01
A,7.5000000000000000e+01,4.7505430945999827e-03,4.7505430945999827e-03,9.7473515321855331e-02,9.7473515321855331e-02,9.7473515321855331e-02,9.7473515321855331e-02,1.2525388194680667e+00,4.4930438022214220e-01,2.1000004093814999e+00,7.9999937712176461e-01
A,7.6000000000000000e+01,4.7287522101465921e-03,4.7287522101465921e-03,9.7249701389223731e-02,9.7249701389223731e-02,9.7249701389223731e-02,9.7249701389223731e-02,1.2525703399686492e+00,4.4929634708215488e-01,2.1000004145696254e+00,7.9999936912080039e-01
A,7.7000000000000000e+01,4.7069965689597202e-03,4.7069965689597202e-03,9.7025734410616238e-02,9.7025734410616238e-02,9.7025734410616238e-02,9.7025734410616238e-02,1.2526017974324746e+00,4.4928834642033177e-01,2.1000004197500100e+00,7.9999936112895675e-01
A,7.8000000000000000e+01,4.6852763448409027e-03,4.6852763448409027e-03,9.6801615119179729e-02,9.6801615119179729e-02,9.6801615119179729e-02,9.6801615119179729e-02,1.2526331917917113e+00,4.4928037822199252e-01,2.1000004249226283e+00,7.9999935314627957e-01
A,7.9000000000000000e+01,4.6635917121965612e-03,4.6635917121965612e-03,9.6577344260406761e-02,9.6577344260406761e-02,9.6577344260406761e-02,9.6577344260406761e-02,1.2526645229785141e+00,4.4927244247206988e-01,2.1000004300874551e+00,7.9999934517281457e-01
A,8.0000000000000000e+01,4.6419428460572664e-03,4.6419428460572664e-03,9.6352922592490842e-02,9.6352922592490842e-02,9.6352922592490842e-02,9.6352922592490842e-02,1.2526957909250269e+00,4.4926453915510778e-01,2.1000004352444654e+00,7.9999933720860783e-01
A,8.1000000000000000e+01,4.6203299220410029e-03,4.6203299220410029e-03,9.6128350886104386e-02,9.6128350886104386e-02,9.6128350886104386e-02,9.6128350886104386e-02,1.2527269955633871e+00,4.4925666825525906e-01,2.1000004403936345e+00,7.9999932925370532e-01
A,8.2000000000000000e+01,4.5987531163678248e-03,4.5987531163678248e-03,9.5903629924709577e-02,9.5903629924709577e-02,9.5903629924709577e-02,9.5903629924709577e-02,1.2527581368257281e+00,4.4924882975628339e-01,2.1000004455349366e+00,7.9999932130815321e-01
A,8.3000000000000000e+01,4.5772126058443189e-03,4.5772126058443189e-03,9.5678760504558369e-02,9.5678760504558369e-02,9.5678760504558369e-02,9.5678760504558369e-02,1.2527892146441844e+00,4.4924102364154517e-01,2.1000004506683467e+00,7.9999931337199781e-01
A,8.4000000000000000e+01,4.5557085678522881e-03,4.5557085678522881e-03,9.5453743434736893e-02,9.5453743434736893e-02,9.5453743434736893e-02,9.5453743434736893e-02,1.2528202289508936e+00,4.4923324989401131e-01,2.1000004557938396e+00,7.9999930544528541e-01
A,8.5000000000000000e+01,4.5342411803584977e-03,4.5342411803584977e-03,9.5228579537431912e-02,9.5228579537431912e-02,9.5228579537431912e-02,9.5228579537431912e-02,1.2528511796780020e+00,4.4922550849624926e-01,2.1000004609113900e+00,7.9999929752806254e-01
A,8.6000000000000000e+01,4.5128106218818506e-03,4.5128106218818506e-03,9.5003269647753186e-02,9.5003269647753186e-02,9.5003269647753186e-02,9.5003269647753186e-02,1.2528820667576666e+00,4.4921779943042478e-01,2.1000004660209726e+00,7.9999928962037570e-01
A,8.7000000000000000e+01,4.4914170714986596e-03,4.4914170714986596e-03,9.4777814613955513e-02,9.4777814613955513e-02,9.4777814613955513e-02,9.4777814613955513e-02,1.2529128901220601e+00,4.4921012267829985e-01,2.1000004711225619e+00,7.9999928172227153e-01
A,8.8000000000000000e+01,4.4700607088308027e-03,4.4700607088308027e-03,9.4552215297483144e-02,9.4552215297483144e-02,9.4552215297483144e-02,9.4552215297483144e-02,1.2529436497033748e+00,4.4920247822123072e-01,2.1000004762161333e+00,7.9999927383379665e-01
A,8.9000000000000000e+01,4.4487417140547433e-03,4.4487417140547433e-03,9.4326472573236231e-02,9.4326472573236231e-02,9.4326472573236231e-02,9.4326472573236231e-02,1.2529743454338254e+00,4.4919486604016567e-01,2.1000004813016608e+00,7.9999926595499793e-01
A,9.0000000000000000e+01,4.4274602678558411e-03,4.4274602678558411e-03,9.4100587329259966e-02,9.4100587329259966e-02,9.4100587329259966e-02,9.4100587329259966e-02,1.2530049772456542e+00,4.4918728611564307e-01,2.1000004863791197e+00,7.9999925808592232e-01
A,9.1000000000000000e+01,4.4062165514539313e-03,4.4062165514539313e-03,9.3874560467188672e-02,9.3874560467188672e-02,9.3874560467188672e-02,9.3874560467188672e-02,1.2530355450711341e+00,4.4917973842778919e-01,2.1000004914484842e+00,7.9999925022661666e-01
A,9.2000000000000000e+01,4.3850107465867013e-03,4.3850107465867013e-03,9.3648392902245803e-02,9.3648392902245803e-02,9.3648392902245803e-02,9.3648392902245803e-02,1.2530660488425733e+00,4.4917222295631637e-01,2.1000004965097290e+00,7.9999924237712805e-01
A,9.3000000000000000e+01,4.3638430354847385e-03,4.3638430354847385e-03,9.3422085563155122e-02,9.3422085563155122e-02,9.3422085563155122e-02,9.3422085563155122e-02,1.2530964884923190e+00,4.4916473968052067e-01,2.1000005015628287e+00,7.9999923453750366e-01
A,9.4000000000000000e+01,4.3427136008797962e-03,4.3427136008797962e-03,9.3195639392407159e-02,9.3195639392407159e-02,9.3195639392407159e-02,9.3195639392407159e-02,1.2531268639527617e+00,4.4915728857928017e-01,2.1000005066077581e+00,7.9999922670779078e-01
A,9.5000000000000000e+01,4.3216226259837759e-03,4.3216226259837759e-03,9.2969055346214802e-02,9.2969055346214802e-02,9.2969055346214802e-02,9.2969055346214802e-02,1.2531571751563393e+00,4.4914986963105269e-01,2.1000005116444918e+00,7.9999921888803660e-01
A,9.6000000000000000e+01,4.3005702944965730e-03,4.3005702944965730e-03,9.2742334394779746e-02,9.2742334394779746e-02,9.2742334394779746e-02,9.2742334394779746e-02,1.2531874220355408e+00,4.4914248281387398e-01,2.1000005166730045e+00,7.9999921107828853e-01
A,9.7000000000000000e+01,4.2795567905683620e-03,4.2795567905683620e-03,9.2515477522070455e-02,9.2515477522070455e-02,9.2515477522070455e-02,9.2515477522070455e-02,1.2532176045229113e+00,4.4913512810535561e-01,2.1000005216932709e+00,7.9999920327859408e-01
A,9.8000000000000000e+01,4.2585822988277225e-03,4.2585822988277225e-03,9.2288485726310654e-02,9.2288485726310654e-02,9.2288485726310654e-02,9.2288485726310654e-02,1.2532477225510559e+00,4.4912780548268305e-01,2.1000005267052653e+00,7.9999919548900078e-01
A,9.9000000000000000e+01,4.2376470043273291e-03,4.2376470043273291e-03,9.2061360019579652e-02,9.2061360019579652e-02,9.2061360019579652e-02,9.2061360019579652e-02,1.2532777760526439e+00,4.4912051492261362e-01,2.1000005317089623e+00,7.9999918770955625e-01
A,1.0000000000000000e+02,4.2167510925676449e-03,4.2167510925676449e-03,9.1834101428256432e-02,9.1834101428256432e-02,9.1834101428256432e-02,9.1834101428256432e-02,1.2533077649604134e+00,4.4911325640147470e-01,2.1000005367043366e+00,7.9999917994030811e-01
A,1.0100000000000000e+02,4.1958947494752452e-03,4.1958947494752452e-03,9.1606710992975238e-02,9.1606710992975238e-02,9.1606710992975238e-02,9.1606710992975238e-02,1.2533376892071753e+00,4.4910602989516157e-01,2.1000005416913630e+00,7.9999917218130412e-01
A,1.0200000000000000e+02,4.1750781613893008e-03,4.1750781613893008e-03,9.1379189768669988e-02,9.1379189768669988e-02,9.1379189768669988e-02,9.1379189768669988e-02,1.2533675487258180e+00,4.4909883537913570e-01,2.1000005466700160e+00,7.9999916443259222e-01
