term_name,term_error,coefficient_error,insertion_error,time,target_z,target_z_index,max_term_error,max_coefficient_error,max_insertion_error,max_abs_error,status,notes
Term II vdgradf,0.0,0.0,0.0,3.72,0.09375,24,3.1031676915590914e-17,0.0,3.1031676915590914e-17,3.1031676915590914e-17,PASS,"GKW source-level coefficient audit; linear_terms.F90:vdgradf, trapdf_4d, ve_grad_fm, vpgrphi_3_newbc, vd_grad_phi_fm; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
Term IV trapdf,0.0,0.0,0.0,3.72,0.09375,24,3.1031676915590914e-17,0.0,3.1031676915590914e-17,3.1031676915590914e-17,PASS,"GKW source-level coefficient audit; linear_terms.F90:vdgradf, trapdf_4d, ve_grad_fm, vpgrphi_3_newbc, vd_grad_phi_fm; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
Term V ve_grad_fm,3.1031676915590914e-17,0.0,3.1031676915590914e-17,3.72,0.09375,24,3.1031676915590914e-17,0.0,3.1031676915590914e-17,3.1031676915590914e-17,PASS,"GKW source-level coefficient audit; linear_terms.F90:vdgradf, trapdf_4d, ve_grad_fm, vpgrphi_3_newbc, vd_grad_phi_fm; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
Term VII vpgrphi,2.4532694666933987e-18,0.0,2.4532694666933987e-18,3.72,0.09375,24,3.1031676915590914e-17,0.0,3.1031676915590914e-17,3.1031676915590914e-17,PASS,"GKW source-level coefficient audit; linear_terms.F90:vdgradf, trapdf_4d, ve_grad_fm, vpgrphi_3_newbc, vd_grad_phi_fm; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
Term VIII vd_grad_phi_fm,3.878959614448864e-18,0.0,3.878959614448864e-18,3.72,0.09375,24,3.1031676915590914e-17,0.0,3.1031676915590914e-17,3.1031676915590914e-17,PASS,"GKW source-level coefficient audit; linear_terms.F90:vdgradf, trapdf_4d, ve_grad_fm, vpgrphi_3_newbc, vd_grad_phi_fm; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
