z_index,term_error_profile,coefficient_error_profile,current_term_profile,reference_term_profile,recurrence_speed_error_profile,is_target_z,time,target_z,local_term_error,max_term_error,local_coefficient_error,max_coefficient_error,recurrence_speed_max_error,sign_selection_error,status,notes
12,5.988999617506331e-19,2.220446049250313e-16,0.0039182483639546,0.0039182483639546,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
13,5.076648352672839e-19,2.220446049250313e-16,0.0031592498559289642,0.0031592498559289647,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
14,6.885575581517028e-19,2.220446049250313e-16,0.003989926042864561,0.003989926042864561,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
15,4.979731770871543e-19,2.220446049250313e-16,0.0031951657626424165,0.003195165762642416,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
16,5.169703411309788e-19,2.220446049250313e-16,0.0032441755262830356,0.003244175526283036,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
17,6.507717531421154e-19,2.220446049250313e-16,0.0041829219311838375,0.004182921931183838,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
18,5.956071587475806e-19,2.220446049250313e-16,0.0034071893787008755,0.003407189378700875,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
19,8.303095281553336e-19,2.220446049250313e-16,0.0046515211428239936,0.004651521142823994,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
20,1.555443299951234e-18,2.220446049250313e-16,0.006657628889299508,0.006657628889299509,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
21,2.2895641373624562e-18,2.220446049250313e-16,0.011221413857177703,0.011221413857177703,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
22,4.314338952070693e-18,2.220446049250313e-16,0.011887936540337294,0.011887936540337294,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
23,5.137226805897254e-18,2.220446049250313e-16,0.010749070218675863,0.010749070218675863,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
24,5.009367606696157e-18,2.220446049250313e-16,0.010749070218675865,0.010749070218675867,5.551115123125783e-17,True,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
25,4.891030636050547e-18,2.220446049250313e-16,0.011887936540337287,0.011887936540337285,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
26,2.757160494652365e-18,2.220446049250313e-16,0.011221413857177703,0.011221413857177703,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
27,1.3290746579009205e-18,2.220446049250313e-16,0.006657628889299508,0.006657628889299509,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
28,8.501979285062308e-19,2.220446049250313e-16,0.0046515211428239936,0.0046515211428239936,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
29,6.193651505989353e-19,2.220446049250313e-16,0.0034071893787008755,0.0034071893787008755,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
