time,raw_amplitude,physical_amplitude,window_growth,fitted_growth,phi_norm,state_norm,rhs_norm,log_normalization
0.0,0.01747030656569787,0.017470306565697875,0.0,0.0,0.0025216215496327377,0.00012247448713915727,0.0031385929877677065,0.0
0.06,0.017312588011299562,0.017312588011299555,-0.15114674157607294,-0.1511467415760729,0.002498856837173222,0.00012158821254842004,0.003075517469863129,0.0
0.12,0.98096382974869,0.016983022638425667,-0.3203281815493527,-0.2357374615627128,0.1415899327926731,0.006938667897938092,0.17268506313726237,-4.056321411362329
0.18,0.9713136354715378,0.016495841460224658,-0.4850976716591848,-0.3190045965903184,0.1401970472267616,0.007010402689528743,0.17144299426436724,-4.07554110225529
0.24,0.9619097476941088,0.015867510697006725,-0.6472441680557643,-0.4013059378889287,0.13883971294182967,0.007185889188944362,0.17166179642498866,-4.104646962554841
0.3,0.9529333212867045,0.015120679669050927,-0.8035057491008561,-0.482277722718807,0.13754407739116073,0.007466552466343818,0.17319493240904163,-4.143481612638187
0.36,0.9445566868030768,0.014282339090409385,-0.9506596008520329,-0.5613799899580377,0.13633501434765435,0.007850319723181199,0.17607369356604471,-4.191691957584238
0.42,0.9372073569229585,0.013385513269600026,-1.0808453747141864,-0.6376280500373961,0.13527422995149194,0.008337368300503665,0.18048517749146528,-4.24873153363536
0.48,0.9309491967035584,0.012461232825798963,-1.1925095286438037,-0.7102025766481906,0.13437094232966632,0.008928377330597013,0.18643592935463071,-4.313582256118211
0.54,0.9255240401603129,0.01153317055031177,-1.2899195330691913,-0.7787705332730133,0.13358788843200667,0.009626193094442796,0.1940121854251079,-4.3851328278368396
0.6,0.9229081400063287,0.010644056980964002,-1.337092878646784,-0.8415495253126334,0.13321031576748765,0.010436118868516125,0.20335771793584276,-4.462527999820991
0.66,0.9232046530167175,0.009826642931801043,-1.3317390524150894,-0.8966216179163549,0.13325311373407922,0.011339993599807,0.21408213004661827,-4.542753572539798
0.72,0.9272870302353956,0.009112118541413427,-1.2582021310573992,-0.9418271853078694,0.13384235413061357,0.012315098843806532,0.22538634416547657,-4.622657915684703
0.78,0.9374986300586872,0.008542598649507451,-1.0756663734895404,-0.9740660901877263,0.1353162716073221,0.013314928998379555,0.23641927427408677,-4.698150043548147
0.84,0.9511094187533989,0.008124946036176603,-0.8354361088702245,-0.9915556288266958,0.13728081973651585,0.014246748248979792,0.24537326094199854,-4.76269002595752
0.9,0.9663461739375796,0.007851510515508565,-0.5705525141852519,-0.9939713543577391,0.13948005591330662,0.015032987808503104,0.2512076983691989,-4.812816192489733
0.96,0.9819215654061157,0.00770956749619075,-0.3040641018805079,-0.9821016120265483,0.1417281700275799,0.015626332732953687,0.25308208195215837,-4.847049343340848
1.02,0.9937128911019016,0.007661096605784961,-0.10511593330383799,-0.9583862546235601,0.14343010129372105,0.016005093860127478,0.2510558672867795,-4.865293189453679
1.08,1.004591405395186,0.007696271806073802,0.07634828410916228,-0.9250731376603778,0.14500027958262376,0.016213218793685265,0.24612433988695512,-4.871600145451909
1.1400000000000001,1.0066601090270202,0.007747529815403836,0.11063380809802996,-0.8860063389335112,0.145298871232302,0.01625994111908877,0.238932068799725,-4.867019248405359
1.2,1.0106105956916083,0.007829735721883769,0.17591163960051226,-0.8432956180768171,0.1458690748671095,0.01628785004610636,0.23171910098326645,-4.860381219919478
1.26,1.0102976604670155,0.007910363681894194,0.1707500127900552,-0.799196116672183,0.14582390655807012,0.016259836452635172,0.22416108834007376,-4.849826521543447
1.32,1.0084948872651336,0.007977561329598093,0.1409834792729529,-0.7554228047779488,0.14556369865972152,0.016244322260240817,0.2170558710432108,-4.8395815207760435
1.3800000000000001,1.0072936336458174,0.008035746739323222,0.12111939549874033,-0.7129519326166215,0.14539031263460223,0.01626308234517215,0.21084207789775133,-4.831122512019666
1.44,1.0051013591527929,0.008076739969501394,0.08480652173214291,-0.6725260679401229,0.14507388506743094,0.016303022666177322,0.20511055511522888,-4.823855348289742
1.5,1.0035555949084582,0.008105457585013897,0.059154812076966934,-0.6344845258011913,0.14485077321678835,0.016378106446156598,0.20007970365365685,-4.818766956985813
1.56,1.0018001662611453,0.00812004875628958,0.02997579839630523,-0.5990193310544404,0.14459739891627102,0.016476498067682362,0.1956081540034376,-4.815217668261195
1.62,1.0015697659670892,0.008132795332478309,0.02614225287274804,-0.566010284146865,0.14456414349832236,0.016603378003126685,0.19163653474135273,-4.813419120357417
