reference_trace,metric,gkw,reference,delta_gkw_minus_reference
gyaradax_cosine,final_window_growth,0.210113,0.14810797572556805,0.06200502427443194
gyaradax_cosine,late_mean_window_growth,0.180407525,0.1532338369249049,0.027173688075095126
gyaradax_cosine,late_fit_growth,0.18853144053590817,0.16587460526960138,0.022656835266306796
gyaradax_cosine2,final_window_growth,0.210113,0.14178050636866799,0.06833249363133201
gyaradax_cosine2,late_mean_window_growth,0.180407525,0.15582016944034344,0.024587355559656576
gyaradax_cosine2,late_fit_growth,0.18853144053590817,0.1647830793304384,0.023748361205469776
