rhs_variant,direct_max_abs_error,direct_l2_error,direct_relative_l2_error,best_layout,best_layout_max_abs_error,best_layout_l2_error,peak_z,is_best_direct,is_best_layout
baseline,3.5348895748192916e-02,8.4556256887820692e-03,3.7849390418301498e-01,reverse_vpar_columns:identity,1.8543579974657488e-02,5.5337409223576864e-03,9.3750000000000000e-02,False,True
flip_igh,1.7078737087702983e+01,2.4642645924727939e+00,1.1030634052100994e+02,fortran_flatten_c_reshape:i_times,1.7076302260987369e+01,2.4643394259114979e+00,-4.4062500000000000e+00,False,False
flip_parallel_field_drive,2.0101624217751909e-02,6.0121896691003188e-03,2.6911990008800141e-01,direct_mu_rows_vpar_columns:identity,2.0101624217751909e-02,6.0121896691003188e-03,-9.3750000000000000e-02,True,False
flip_igh_and_parallel_field_drive,1.7078063622294973e+01,2.4641673997143578e+00,1.1030198994212284e+02,fortran_flatten_c_reshape:i_times,1.7075628881471548e+01,2.4642419449027058e+00,-4.4062500000000000e+00,False,False
