variant,snapshot_index,time,direct_max_abs_error,direct_l2_error,direct_relative_l2_error,best_layout,best_layout_max_abs_error,best_layout_l2_error,is_best_direct_at_snapshot,passed
baseline,20,0.06,0.003990529105190601,0.0023429816924998466,0.24960628711028654,direct_mu_rows_vpar_columns:identity,0.003990529105190601,0.0023429816924998466,False,False
baseline,800,2.4,0.036712468463562305,0.013059709271108258,0.5287496799802696,reverse_vpar_columns:identity,0.029423527841286302,0.009500555298264777,False,False
baseline,1600,4.8,0.035348895748192916,0.00845562568878207,0.378493904183015,reverse_vpar_columns:identity,0.018543579974657488,0.005533740922357686,False,False
flip_igh,20,0.06,0.00397064536719436,0.0023449619248121106,0.24981724839806024,direct_mu_rows_vpar_columns:identity,0.00397064536719436,0.0023449619248121106,False,False
flip_igh,800,2.4,0.0851888323447558,0.028541235001945747,1.1555516711927412,roll_vpar_plus_1:identity,0.06804736875786818,0.029104563049069845,False,False
flip_igh,1600,4.8,17.078737087702983,2.464264592472794,110.30634052100994,fortran_flatten_c_reshape:i_times,17.07630226098737,2.464339425911498,False,False
flip_term_vii_only,20,0.06,0.00398538878848171,0.002344946963025688,0.24981565446500928,direct_mu_rows_vpar_columns:identity,0.00398538878848171,0.002344946963025688,False,False
flip_term_vii_only,800,2.4,0.02604522658732149,0.009058631473790385,0.36675766614668304,direct_mu_rows_vpar_columns:identity,0.02604522658732149,0.009058631473790385,True,False
flip_term_vii_only,1600,4.8,0.02010162421775191,0.006012189669100319,0.2691199000880014,direct_mu_rows_vpar_columns:identity,0.02010162421775191,0.006012189669100319,False,False
conjugate_term_vii_only,20,0.06,0.005155254259415087,0.0023885177990213883,0.25445741271433403,reverse_vpar_columns:identity,0.0039904310767385105,0.0023429924015898615,False,False
conjugate_term_vii_only,800,2.4,0.03293454313978757,0.011775378136125291,0.47675084428541403,reverse_vpar_columns:identity,0.02705030690005695,0.008775663623019177,False,False
conjugate_term_vii_only,1600,4.8,0.01596045557377426,0.005113660917074626,0.2288996174155926,direct_mu_rows_vpar_columns:identity,0.01596045557377426,0.005113660917074626,True,False
negative_conjugate_term_vii_only,20,0.06,0.003985486863643411,0.0023449293440349532,0.24981377745040265,direct_mu_rows_vpar_columns:identity,0.003985486863643411,0.0023449293440349532,False,False
negative_conjugate_term_vii_only,800,2.4,0.034922583122752274,0.012209297746299076,0.49431898843423716,reverse_vpar_columns:identity,0.02832476479699383,0.009098699307942158,False,False
negative_conjugate_term_vii_only,1600,4.8,0.016980699849443844,0.005134273990221155,0.22982230756527486,direct_mu_rows_vpar_columns:identity,0.016980699849443844,0.005134273990221155,False,False
conjugate_all_field_terms,20,0.06,0.003935304999969446,0.002301743712671628,0.24521305643938524,direct_mu_rows_vpar_columns:identity,0.003935304999969446,0.002301743712671628,True,False
conjugate_all_field_terms,800,2.4,0.07356393749604888,0.029965715664526903,1.213224754018876,direct_mu_rows_vpar_columns:conjugate,0.07229195128371597,0.027224957458037755,False,False
conjugate_all_field_terms,1600,4.8,0.07481363070580742,0.01611625274249699,0.7214017798115807,roll_vpar_minus_1:identity,0.06850047979726835,0.0165347893186209,False,False
