snapshot_index,time,vpar_error,vperp_error,time_error,direct_max_abs_error,direct_l2_error,direct_relative_l2_error,best_variant,best_max_abs_error,best_l2_error,passed
20,0.06,5.0000000000105516e-05,4.664794806363837e-05,0.0,0.003990529105190601,0.0023429816924998466,0.24960628711028654,direct_mu_rows_vpar_columns:identity,0.003990529105190601,0.0023429816924998466,False
800,2.4,5.0000000000105516e-05,4.664794806363837e-05,0.0,0.036712468463562305,0.013059709271108258,0.5287496799802696,reverse_vpar_columns:identity,0.029423527841286302,0.009500555298264777,False
1600,4.8,5.0000000000105516e-05,4.664794806363837e-05,0.0,0.035348895748192916,0.00845562568878207,0.378493904183015,reverse_vpar_columns:identity,0.018543579974657488,0.005533740922357686,False
