z_index,parallel_phi_profile,packed_parallel_phi_profile,time,output_window,field_offset,n_field_values,packing_roundtrip_error,parallel_phi_error,selected_profile_error,ky_spectrum_error,kx_spectrum_error,status,notes
20,0.0002826516659839183,0.0002826516659839183,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
21,0.005154853549015437,0.005154853549015437,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
22,0.13720438059907447,0.13720438059907447,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
23,0.3569780649856701,0.3569780649856701,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
24,0.3569780649856702,0.3569780649856702,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
25,0.13720438059907428,0.13720438059907428,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
26,0.005154853549015448,0.005154853549015448,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
27,0.00028265166598391854,0.00028265166598391854,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
28,0.0002143974490507896,0.0002143974490507896,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
29,5.8330111850446696e-05,5.8330111850446696e-05,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
30,5.687506652238304e-07,5.687506652238304e-07,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
31,2.5704478030698123e-06,2.5704478030698123e-06,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
32,8.462155259987756e-06,8.462155259987756e-06,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
33,3.5330552782755918e-06,3.5330552782755918e-06,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
34,5.217679075106493e-06,5.217679075106493e-06,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
35,7.096807594694229e-06,7.096807594694229e-06,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
36,1.4513499296474496e-05,1.4513499296474496e-05,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
37,6.639930814853112e-06,6.639930814853112e-06,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
