ky_index,ky,growth_rate,frequency,kperp2_average,quasilinear_contribution,raw_final_amplitude,log_normalization
0,0.1,0.005897784701279936,-0.052116722503796856,0.04943684679916048,0.11929937046997889,1.0033775887885497,-2.8844332014701717
1,0.2,-0.003692019629248049,-0.1376335433184242,0.14833425756117177,0.0,0.9985937431333274,-3.264333768938336
2,0.3,-0.003873187724258646,-0.1680107666676103,0.2613678520743607,0.0,0.9978042006211737,-3.5262284111084217
