sample_index,time,ky_index,ky,log_amplitude,raw_amplitude,window_growth
0,0.0,0,0.1,-6.716619312939638,0.001210624044651851,
0,0.0,1,0.2,-6.787572314016644,0.0011277031628752125,
0,0.0,2,0.3,-6.886908463684823,0.0010210656280223306,
1,0.1,0,0.1,-6.6260040537765414,0.0013254489406803922,0.9061525916309687
1,0.1,1,0.2,-6.695428986743523,0.0012365512963505884,0.9214332727312069
1,0.1,2,0.3,-6.793225637709673,0.0011213458786900738,0.9368282597514987
2,0.2,0,0.1,-6.543746480891211,1.0857354298241044,0.8225757288533053
2,0.2,1,0.2,-6.609265187678087,1.089984852183834,0.8616379906543603
2,0.2,2,0.3,-6.701374942195846,1.096201142113779,0.9185069551382696
3,0.3,0,0.1,-6.46927762273029,1.0773117935293413,0.7446885816092054
3,0.3,1,0.2,-6.529834706609366,1.082670290831624,0.7943048106872121
3,0.3,2,0.3,-6.6144716649995035,1.0907911702355833,0.8690327719634274
4,0.4,0,0.1,-6.401897681350195,1.0697018249633996,0.6737994138009549
4,0.4,1,0.2,-6.457195643038824,1.075342336637675,0.7263906357054137
4,0.4,2,0.3,-6.533902921875793,1.0839033549836754,0.8056874312371052
5,0.5,0,0.1,-6.340906446049609,1.06288959823853,0.6099123530058571
5,0.5,1,0.2,-6.391068595172368,1.0683624417128759,0.6612704786645641
5,0.5,2,0.3,-6.460085471910265,1.0766102523176972,0.7381744996552798
6,0.6,0,0.1,-6.285657530295638,1.0568036370130411,0.5524891575397107
6,0.6,1,0.2,-6.331026345587393,1.0618814096464795,0.6004224958497507
6,0.6,2,0.3,-6.392923292368109,1.0694689100888537,0.6716217954215599
7,0.7000000000000001,0,0.1,-6.235575646540674,1.0513571819253364,0.5008188375496387
7,0.7000000000000001,1,0.2,-6.276590317676098,1.0559449232506908,0.5443602791129449
7,0.7000000000000001,2,0.3,-6.33206394270848,1.0627494276060505,0.6085934965962897
8,0.8,0,0.1,-6.1901561212921346,1.0464667870707005,0.4541952524853966
8,0.8,1,0.2,-6.227277327770492,1.0505491105550406,0.4931298990560685
8,0.8,2,0.3,-6.277036946137784,1.056569138033906,0.55026996570696
9,0.9,0,0.1,-6.14895629083104,1.0420603201352387,0.41199830461094333
9,0.9,1,0.2,-6.1826205400806,1.0456689118716964,0.44656787689891797
9,0.9,2,0.3,-6.227327114087124,1.0509660954506754,0.49709832050660385
10,1.0,0,0.1,-6.1115838762818075,1.0380795447858584,0.37372414549232685
10,1.0,1,0.2,-6.142177542002479,1.0412719535082768,0.4044299807812114
10,1.0,2,0.3,-6.182413254348665,1.0459377586760121,0.44913859738458417
11,1.1,0,0.1,-6.077685230593898,1.0344797524308103,0.33898645687909096
11,1.1,1,0.2,-6.10553250199442,1.0373247466970024,0.36645040008058205
11,1.1,2,0.3,-6.141789001540021,1.0414607060812426,0.40624252808644423
12,1.2,0,0.1,-6.046935194463236,1.031227702000726,0.30750036130662334
12,1.2,1,0.2,-6.072296145493757,1.0337948545016318,0.332363565006633
12,1.2,2,0.3,-6.104974710132289,1.0375003302207557,0.36814291407731453
13,1.3,0,0.1,-6.019029592829699,1.0282986101306373,0.2790560163353726
13,1.3,1,0.2,-6.0421054924454545,1.030651011980525,0.3019065304830268
13,1.3,2,0.3,-6.0715250009899755,1.0340154408952724,0.33449709142313794
14,1.4000000000000001,0,0.1,-5.993680879162769,1.0256727242668986,0.2534871366693012
14,1.4000000000000001,1,0.2,-6.01462425735106,1.0278623271867404,0.2748123509439446
14,1.4000000000000001,2,0.3,-6.041034127928397,1.0309604804930204,0.3049087306157891
15,1.5,0,0.1,-5.970616982901175,1.0233319245426142,0.23063896261593472
15,1.5,1,0.2,-5.989544169886679,1.0253972387008972,0.2508008746438065
15,1.5,2,0.3,-6.013139984321148,1.0282868279256308,0.2789414360724866
16,1.6,0,0.1,-5.949583007589697,1.0212567485642374,0.21033975311477862
16,1.6,1,0.2,-5.96658706204091,1.0232226503822412,0.22957107845769523
16,1.6,2,0.3,-5.98752685413497,1.0259439649372135,0.25613130186178146
17,1.7,0,0.1,-5.930345076679127,1.0194241722858948,0.1923793091057038
17,1.7,1,0.2,-5.945507312034343,1.0213034973504578,0.21079750006566506
17,1.7,2,0.3,-5.963926692338477,1.023880849356083,0.23600161796492744
18,1.8,0,0.1,-5.912695365641388,1.0178063875955876,0.17649711037739363
18,1.8,1,0.2,-5.926094107797247,1.0196028658113596,0.19413204237096676
18,1.8,2,0.3,-5.942118663389582,1.0220475620917582,0.21808028948894867
19,1.9000000000000001,0,0.1,-5.896457234344919,1.016370686260174,0.16238131296468325
