# step time state_norm phi_norm
          20   6.00000000000000E-02   5.52430196519097E-03   1.44337567297406E-01
          40   1.20000000000000E-01   5.56014880348688E-03   1.44337567297406E-01
          60   1.80000000000000E-01   5.66092753807274E-03   1.44337567297406E-01
          80   2.40000000000000E-01   5.84181484226323E-03   1.44337567297406E-01
         100   3.00000000000000E-01   6.10591807684549E-03   1.44337567297406E-01
         120   3.60000000000000E-01   6.45329104721882E-03   1.44337567297406E-01
         140   4.20000000000000E-01   6.88064740734053E-03   1.44337567297406E-01
         160   4.80000000000000E-01   7.38310943228014E-03   1.44337567297406E-01
         180   5.40000000000000E-01   7.96029562577075E-03   1.44337567297406E-01
         200   6.00000000000000E-01   8.61272616442578E-03   1.44337567297406E-01
         220   6.60000000000000E-01   9.33086106392403E-03   1.44337567297406E-01
         240   7.20000000000001E-01   1.01043787379622E-02   1.44337567297406E-01
         260   7.80000000000001E-01   1.08948361485753E-02   1.44337567297406E-01
         280   8.40000000000001E-01   1.16774442521790E-02   1.44337567297406E-01
         300   9.00000000000001E-01   1.23953523664782E-02   1.44337567297406E-01
         320   9.60000000000001E-01   1.30118212414940E-02   1.44337567297406E-01
         340   1.02000000000000E+00   1.35108305969913E-02   1.44337567297406E-01
         360   1.08000000000000E+00   1.38788983748810E-02   1.44337567297406E-01
         380   1.14000000000000E+00   1.41341769143782E-02   1.44337567297406E-01
         400   1.19999999999999E+00   1.43117494436831E-02   1.44337567297406E-01
         420   1.25999999999999E+00   1.44225556633723E-02   1.44337567297406E-01
         440   1.31999999999999E+00   1.45150170353961E-02   1.44337567297406E-01
         460   1.37999999999999E+00   1.45999474379748E-02   1.44337567297406E-01
         480   1.43999999999998E+00   1.46831893279399E-02   1.44337567297406E-01
         500   1.49999999999998E+00   1.47798009875512E-02   1.44337567297406E-01
         520   1.55999999999998E+00   1.49005203350204E-02   1.44337567297406E-01
         540   1.61999999999998E+00   1.50350594272751E-02   1.44337567297406E-01
         560   1.67999999999998E+00   1.51788605299668E-02   1.44337567297406E-01
         580   1.73999999999997E+00   1.53241907617738E-02   1.44337567297406E-01
         600   1.79999999999997E+00   1.54878509592975E-02   1.44337567297406E-01
         620   1.85999999999997E+00   1.56404048239959E-02   1.44337567297407E-01
         640   1.91999999999997E+00   1.57856037944873E-02   1.44337567297406E-01
         660   1.97999999999997E+00   1.59275296204974E-02   1.44337567297406E-01
         680   2.03999999999997E+00   1.60587978608159E-02   1.44337567297406E-01
         700   2.09999999999997E+00   1.61787923832735E-02   1.44337567297406E-01
         720   2.15999999999997E+00   1.62902525050577E-02   1.44337567297406E-01
         740   2.21999999999997E+00   1.63916488567661E-02   1.44337567297406E-01
         760   2.27999999999998E+00   1.64837542129507E-02   1.44337567297406E-01
         780   2.33999999999998E+00   1.65716519937660E-02   1.44337567297406E-01
         800   2.39999999999998E+00   1.66512552161494E-02   1.44337567297406E-01
         820   2.45999999999998E+00   1.67262015737243E-02   1.44337567297406E-01
         840   2.51999999999998E+00   1.67923514467795E-02   1.44337567297406E-01
         860   2.57999999999999E+00   1.68528557954813E-02   1.44337567297406E-01
         880   2.63999999999999E+00   1.69090064540415E-02   1.44337567297406E-01
         900   2.69999999999999E+00   1.69543667123866E-02   1.44337567297406E-01
         920   2.75999999999999E+00   1.69979084803514E-02   1.44337567297406E-01
         940   2.82000000000000E+00   1.70356264958086E-02   1.44337567297406E-01
         960   2.88000000000000E+00   1.70675202601835E-02   1.44337567297407E-01
         980   2.94000000000000E+00   1.70899721572038E-02   1.44337567297406E-01
        1000   3.00000000000000E+00   1.71110742453115E-02   1.44337567297406E-01
        1020   3.06000000000000E+00   1.71251608142977E-02   1.44337567297406E-01
        1040   3.12000000000001E+00   1.71314832821448E-02   1.44337567297406E-01
        1060   3.18000000000001E+00   1.71298634430221E-02   1.44337567297406E-01
        1080   3.24000000000001E+00   1.71209149003926E-02   1.44337567297406E-01
        1100   3.30000000000001E+00   1.71055175699609E-02   1.44337567297406E-01
        1120   3.36000000000002E+00   1.70835531384590E-02   1.44337567297406E-01
        1140   3.42000000000002E+00   1.70566735295497E-02   1.44337567297406E-01
        1160   3.48000000000002E+00   1.70224945002656E-02   1.44337567297406E-01
        1180   3.54000000000002E+00   1.69855248858752E-02   1.44337567297406E-01
        1200   3.60000000000003E+00   1.69453451982443E-02   1.44337567297406E-01
        1220   3.66000000000003E+00   1.69054433309992E-02   1.44337567297406E-01
        1240   3.72000000000003E+00   1.68635058803675E-02   1.44337567297406E-01
        1260   3.78000000000003E+00   1.68183623716953E-02   1.44337567297406E-01
        1280   3.84000000000003E+00   1.67719994721899E-02   1.44337567297406E-01
        1300   3.90000000000004E+00   1.67248283757287E-02   1.44337567297406E-01
        1320   3.96000000000004E+00   1.66795411968887E-02   1.44337567297406E-01
        1340   4.02000000000004E+00   1.66357016794131E-02   1.44337567297406E-01
        1360   4.08000000000004E+00   1.65905521645286E-02   1.44337567297406E-01
        1380   4.14000000000005E+00   1.65439911356248E-02   1.44337567297406E-01
        1400   4.20000000000005E+00   1.65000359424332E-02   1.44337567297406E-01
