  6.00000E-02 -7.67421E+01
  1.20000E-01 -4.11547E-01
  1.80000E-01 -6.14181E-01
  2.40000E-01 -8.15582E-01
  3.00000E-01 -9.86631E-01
  3.60000E-01 -1.11794E+00
  4.20000E-01 -1.21825E+00
  4.80000E-01 -1.29433E+00
  5.40000E-01 -1.33922E+00
  6.00000E-01 -1.34140E+00
  6.60001E-01 -1.28789E+00
  7.20001E-01 -1.18364E+00
  7.80001E-01 -9.95920E-01
  8.40002E-01 -8.24469E-01
  9.00002E-01 -6.56932E-01
  9.60003E-01 -5.28290E-01
  1.02000E+00 -4.46724E-01
  1.08000E+00 -3.67957E-01
  1.14000E+00 -3.53811E-01
  1.20000E+00 -3.25810E-01
  1.26000E+00 -3.02277E-01
  1.32001E+00 -2.97597E-01
  1.38001E+00 -2.68716E-01
  1.44001E+00 -2.33867E-01
  1.50001E+00 -2.04994E-01
  1.56001E+00 -1.72631E-01
  1.62001E+00 -1.19070E-01
  1.68001E+00 -6.75680E-02
  1.74001E+00 -2.98377E-02
  1.80001E+00 -8.11013E-03
  1.86001E+00  3.30714E-02
  1.92001E+00  6.31719E-02
  1.98001E+00  8.04619E-02
  2.04001E+00  9.80915E-02
  2.10001E+00  1.13676E-01
  2.16001E+00  1.17526E-01
  2.22001E+00  1.16523E-01
  2.28001E+00  1.37128E-01
  2.34001E+00  9.95136E-02
  2.40001E+00  9.81923E-02
  2.46001E+00  1.06914E-01
  2.52001E+00  1.05333E-01
  2.58001E+00  1.03741E-01
  2.64001E+00  1.03469E-01
  2.70001E+00  1.06835E-01
  2.76002E+00  1.02306E-01
  2.82002E+00  1.07001E-01
  2.88002E+00  1.22982E-01
  2.94002E+00  1.34040E-01
  3.00002E+00  1.26364E-01
  3.06002E+00  1.42499E-01
  3.12002E+00  1.45995E-01
  3.18002E+00  1.59673E-01
  3.24002E+00  1.62204E-01
  3.30002E+00  1.62554E-01
  3.36002E+00  1.73512E-01
  3.42002E+00  1.79126E-01
  3.48002E+00  1.86503E-01
  3.54002E+00  1.93718E-01
  3.60002E+00  1.92060E-01
  3.66002E+00  1.97245E-01
  3.72002E+00  2.04545E-01
  3.78002E+00  2.11562E-01
  3.84002E+00  2.05032E-01
  3.90002E+00  2.15397E-01
  3.96002E+00  2.23024E-01
  4.02002E+00  2.24738E-01
  4.08002E+00  2.26377E-01
  4.14001E+00  2.28880E-01
  4.20001E+00  2.31210E-01
  4.26000E+00  2.32374E-01
  4.32000E+00  2.33151E-01
  4.38000E+00  2.33332E-01
  4.43999E+00  2.24185E-01
  4.49999E+00  2.25208E-01
  4.55998E+00  2.22720E-01
  4.61998E+00  2.17936E-01
  4.67997E+00  2.17820E-01
  4.73997E+00  2.14623E-01
  4.79997E+00  2.10113E-01
