  5.17616E-05   5.11909E-07   1.14755E-05   5.98779E-06   5.95547E-06   1.45876E-05   1.70042E-06   7.74378E-05   5.71540E-06   3.24252E-09   7.76227E-05   6.41231E-06   6.11461E-06   1.93436E-04   4.50663E-07   6.07613E-04   8.97236E-04   5.98475E-05   2.72043E-03   1.80941E-04   7.02965E-03   2.70671E-02   1.13389E-02   4.49639E-01   4.49639E-01   1.13389E-02   2.70671E-02   7.02965E-03   1.80941E-04   2.72043E-03   5.98475E-05   8.97236E-04   6.07614E-04   4.50664E-07   1.93436E-04   6.11461E-06   6.41232E-06   7.76228E-05   3.24249E-09   5.71541E-06   7.74378E-05   1.70043E-06   1.45876E-05   5.95547E-06   5.98779E-06   1.14755E-05   5.11909E-07   5.17616E-05
  1.76693E-05   3.47464E-07   7.40086E-06   5.89469E-06   4.17872E-06   1.80894E-05   1.33947E-06   1.85056E-05   3.93490E-06   1.09306E-07   8.12006E-05   1.84221E-06   2.09448E-06   1.86049E-04   2.20599E-07   4.65486E-04   7.83234E-04   3.05171E-05   2.56571E-03   1.93984E-04   7.37237E-03   2.78980E-02   1.11658E-02   4.49176E-01   4.49176E-01   1.11658E-02   2.78980E-02   7.37237E-03   1.93984E-04   2.56571E-03   3.05171E-05   7.83234E-04   4.65486E-04   2.20599E-07   1.86049E-04   2.09449E-06   1.84220E-06   8.12006E-05   1.09306E-07   3.93490E-06   1.85056E-05   1.33947E-06   1.80894E-05   4.17872E-06   5.89469E-06   7.40088E-06   3.47464E-07   1.76693E-05
  2.11142E-05   1.52707E-06   3.34114E-06   1.79783E-06   1.73947E-06   2.17491E-05   6.41273E-07   2.81623E-05   2.07257E-06   2.37944E-07   7.54657E-05   3.53051E-06   3.93884E-06   1.80622E-04   6.25310E-07   2.81494E-04   6.49651E-04   1.15453E-05   2.34516E-03   1.99587E-04   6.90031E-03   2.93550E-02   1.07746E-02   4.49136E-01   4.49136E-01   1.07745E-02   2.93550E-02   6.90031E-03   1.99587E-04   2.34516E-03   1.15453E-05   6.49651E-04   2.81494E-04   6.25310E-07   1.80622E-04   3.93884E-06   3.53051E-06   7.54657E-05   2.37944E-07   2.07257E-06   2.81623E-05   6.41273E-07   2.17491E-05   1.73947E-06   1.79783E-06   3.34114E-06   1.52707E-06   2.11142E-05
  1.19687E-05   4.99893E-06   1.37994E-06   2.60736E-06   6.04783E-06   2.39350E-05   2.20958E-06   2.09466E-05   3.67007E-06   6.24343E-07   5.58387E-05   8.94233E-06   3.85079E-06   1.78754E-04   1.90087E-06   2.04602E-04   5.20405E-04   1.58530E-05   2.09703E-03   1.88267E-04   5.46991E-03   3.14928E-02   1.01240E-02   4.49560E-01   4.49559E-01   1.01240E-02   3.14928E-02   5.46991E-03   1.88267E-04   2.09703E-03   1.58530E-05   5.20404E-04   2.04602E-04   1.90087E-06   1.78754E-04   3.85078E-06   8.94233E-06   5.58387E-05   6.24342E-07   3.67007E-06   2.09466E-05   2.20958E-06   2.39350E-05   6.04783E-06   2.60736E-06   1.37993E-06   4.99892E-06   1.19687E-05
  3.87535E-05   9.22832E-06   1.31425E-06   5.91416E-06   1.27616E-05   2.27801E-05   5.02280E-06   1.11539E-05   2.73555E-06   9.86001E-07   3.62342E-05   1.30889E-05   4.58710E-06   1.80620E-04   1.37264E-06   4.40186E-04   3.95535E-04   2.73731E-05   1.82782E-03   1.63402E-04   3.81871E-03   3.43983E-02   9.30387E-03   4.49278E-01   4.49278E-01   9.30387E-03   3.43983E-02   3.81871E-03   1.63402E-04   1.82782E-03   2.73731E-05   3.95535E-04   4.40186E-04   1.37264E-06   1.80620E-04   4.58710E-06   1.30889E-05   3.62342E-05   9.85998E-07   2.73555E-06   1.11539E-05   5.02281E-06   2.27801E-05   1.27616E-05   5.91415E-06   1.31425E-06   9.22832E-06   3.87535E-05
  3.83733E-05   1.01313E-05   1.27114E-06   5.38987E-06   1.46218E-05   1.82733E-05   5.27553E-06   2.07034E-05   1.05908E-06   4.92549E-06   2.96355E-05   4.52644E-05   1.37769E-05   1.82804E-04   3.43186E-06   8.52512E-04   3.09582E-04   2.25057E-05   1.55523E-03   1.43485E-04   3.04536E-03   3.81658E-02   8.56208E-03   4.46948E-01   4.46948E-01   8.56208E-03   3.81658E-02   3.04536E-03   1.43485E-04   1.55523E-03   2.25057E-05   3.09583E-04   8.52511E-04   3.43185E-06   1.82804E-04   1.37769E-05   4.52645E-05   2.96354E-05   4.92548E-06   1.05908E-06   2.07034E-05   5.27552E-06   1.82733E-05   1.46217E-05   5.38987E-06   1.27114E-06   1.01313E-05   3.83733E-05
  6.74351E-05   3.91791E-06   1.00898E-06   8.11056E-06   3.34759E-05   1.40948E-05   9.55254E-06   1.67118E-05   1.22719E-06   6.48358E-06   4.06036E-05   5.63671E-05   1.67442E-05   1.83810E-04   6.33100E-06   9.90821E-04   3.28314E-04   1.25699E-05   1.30140E-03   1.55461E-04   3.64831E-03   4.27843E-02   8.26222E-03   4.42051E-01   4.42051E-01   8.26222E-03   4.27844E-02   3.64831E-03   1.55461E-04   1.30140E-03   1.25699E-05   3.28313E-04   9.90820E-04   6.33100E-06   1.83810E-04   1.67443E-05   5.63671E-05   4.06036E-05   6.48359E-06   1.22719E-06   1.67118E-05   9.55255E-06   1.40948E-05   3.34759E-05   8.11056E-06   1.00898E-06   3.91791E-06   6.74351E-05
  4.02572E-05   3.34916E-07   9.10223E-07   5.39301E-06   6.31410E-05   1.10763E-05   2.34386E-05   3.50273E-05   2.36935E-06   1.41649E-05   6.42616E-05   9.37346E-05   4.22066E-05   1.81630E-04   4.08783E-06   8.30480E-04   5.14835E-04   1.75539E-05   1.07609E-03   2.18285E-04   4.96895E-03   4.80826E-02   8.80760E-03   4.34902E-01   4.34902E-01   8.80760E-03   4.80826E-02   4.96895E-03   2.18285E-04   1.07609E-03   1.75539E-05   5.14835E-04   8.30480E-04   4.08783E-06   1.81630E-04   4.22066E-05   9.37346E-05   6.42615E-05   1.41649E-05   2.36935E-06   3.50273E-05   2.34386E-05   1.10763E-05   6.31410E-05   5.39302E-06   9.10223E-07   3.34917E-07   4.02572E-05
  6.66456E-05   1.87537E-07   1.14047E-06   2.75416E-06   2.01389E-05   1.00293E-05   1.16481E-05   5.04941E-05   3.23747E-06   1.70175E-05   1.00859E-04   1.49729E-04   5.75259E-05   1.77669E-04   9.09788E-06   1.04641E-03   8.61262E-04   2.27662E-05   9.07751E-04   3.30164E-04   5.70692E-03   5.38351E-02   1.05538E-02   4.26058E-01   4.26058E-01   1.05538E-02   5.38352E-02   5.70692E-03   3.30164E-04   9.07751E-04   2.27662E-05   8.61263E-04   1.04641E-03   9.09788E-06   1.77669E-04   5.75260E-05   1.49729E-04   1.00859E-04   1.70175E-05   3.23748E-06   5.04941E-05   1.16481E-05   1.00293E-05   2.01389E-05   2.75417E-06   1.14046E-06   1.87536E-07   6.66456E-05
  7.53325E-05   8.21579E-06   3.29702E-06   2.08277E-05   1.07954E-05   1.08529E-05   8.79396E-06   5.07307E-05   5.94805E-06   1.21178E-05   1.43678E-04   1.26542E-04   7.52301E-05   1.71163E-04   1.09113E-05   1.79435E-03   1.25677E-03   1.36280E-05   8.55180E-04   4.67093E-04   5.08564E-03   5.99435E-02   1.36897E-02   4.16160E-01   4.16160E-01   1.36897E-02   5.99435E-02   5.08564E-03   4.67093E-04   8.55181E-04   1.36280E-05   1.25677E-03   1.79435E-03   1.09113E-05   1.71163E-04   7.52301E-05   1.26542E-04   1.43678E-04   1.21178E-05   5.94804E-06   5.07307E-05   8.79397E-06   1.08529E-05   1.07954E-05   2.08276E-05   3.29701E-06   8.21578E-06   7.53325E-05
