z_index,z,theta,phi,rho,B,F,G,E_y,D_x,D_y,g_xx,g_xy,g_yy,kperp2_min,kperp2_max
0,-0.5,-3.141592653589793,-21.84,0.8,0.9486,0.0019607888988921506,-0.0,0.1677,0.0783,0.39449999999999996,2.016,4.8,11.87,0.11870000000000001,1.0682999999999998
1,-0.49609375,-3.117048960983623,-21.66,0.8,0.9912,0.0019607888988921506,-0.03361774269737378,0.03407,0.007423,0.12226000000000001,2.395,5.909,14.99,0.14990000000000003,1.3491
2,-0.4921875,-3.0925052683774528,-21.5,0.8,1.059,0.0019607888988921506,-0.03342962679652779,-0.1075,-0.05581,-0.16752,3.087,7.918,20.67,0.20670000000000005,1.8603
3,-0.48828125,-3.067961575771282,-21.34,0.8,1.119,0.0019607888988921506,-0.013900828399706132,-0.2044,-0.09158,-0.36629999999999996,3.401,9.086,24.64,0.24640000000000006,2.2176
4,-0.484375,-3.043417883165112,-21.18,0.8,1.105,0.0019607888988921506,0.022092449297539028,-0.3301,-0.1326,-0.6167,2.594,7.297,21.0,0.21000000000000005,1.89
5,-0.48046875,-3.018874190558942,-21.02,0.8,1.045,0.0019607888988921506,0.03209411077786468,-0.1419,-0.05127,-0.23506,1.467,4.459,14.3,0.14300000000000004,1.287
6,-0.4765625,-2.9943304979527716,-20.85,0.8,0.9871,0.0019607888988921506,0.017767819570178627,-0.02229,-0.005787,0.009990000000000002,0.5834,1.746,6.898,0.06898000000000001,0.6208199999999999
7,-0.47265625,-2.9697868053466014,-20.68,0.8,0.9836,0.0019607888988921506,-0.00941907643761431,-0.02538,-0.001988,0.004210000000000002,0.5183,0.6196,2.607,0.026070000000000006,0.23463
8,-0.46875,-2.945243112740431,-20.51,0.8,1.015,0.0019607888988921506,-0.025460045412250366,0.02092,0.02195,0.09340999999999999,1.296,1.214,1.932,0.019320000000000004,0.17387999999999998
9,-0.46484375,-2.9206994201342606,-20.35,0.8,1.085,0.0019607888988921506,-0.03201433160268134,0.1723,0.1189,0.38970000000000005,2.488,2.918,3.896,0.03896000000000001,0.35063999999999995
10,-0.4609375,-2.8961557275280905,-20.19,0.8,1.115,0.0019607888988921506,0.004938481823481313,0.1831,0.1077,0.40900000000000003,3.481,4.62,6.489,0.06489000000000002,0.5840099999999999
